occupation_name,skills,knowledge,prompt,results,rephrase_prompts
database administrator,"['safeguard online privacy and identity', 'maintain database security']",[],"Take this sentence from a Job Posting.

""As a person you thrive on @@taking responsibility@@ and as you have some interaction with sales channels and sales customers it is essential that you have excellent @@collaboration and communication skills@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@safeguard online privacy and identity@@, @@maintain database security@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a person you thrive on @@safeguarding online privacy and identity@@ and as you have some interaction with sales channels and sales customers it is essential that you have excellent @@database security maintenance skills@@.,
stock broker,"['examine credit ratings', 'apply technical communication skills']",[],"Take this sentence from a Job Posting.

""@@Coordinates security incident investigation management and response to all security incidents@@ with impacts to the account to @@ensure a swift and professional resolution@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@examine credit ratings@@, @@apply technical communication skills@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Examine credit ratings@@ management and response to all related incidents with impacts to the account to @@apply technical communication skills@@ for a swift and professional resolution.,
demographer,"['find trends in geographic data', 'mentor individuals', 'manage open publications']",[],"Take this sentence from a Job Posting.

""Your success in the job depends on your ability to @@keep lots of balls in the air@@ to be able to @@keep a cool head in stressful situations@@ and to @@maintain a good balance between a practical and a theoretical approach to design solutions@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@find trends in geographic data@@, @@mentor individuals@@, @@manage open publications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Your success in the job depends on your ability to @@find trends in geographic data@@, to @@mentor individuals@@ in stressful situations, and to @@manage open publications@@ to maintain a good balance between a practical and a theoretical approach to design solutions.",
modern languages teacher secondary school,"['monitor developments in field of expertise', 'liaise with educational support staff', 'monitor educational developments']",['ethnolinguistics'],"Take this sentence from a Job Posting.

""@@Ensure that Securitys capabilities are provided maximum opportunity@@ to @@support account expansion goals@@ including @@assisting in opportunity identification;@@ ##strategy and service offering development## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@monitor developments in field of expertise@@, @@liaise with educational support staff@@, @@monitor educational developments@@, and for knowledge: ##ethnolinguistics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Monitor developments in field of expertise@@ to @@liaise with educational support staff@@ including @@monitoring educational developments@@; ##ethnolinguistics##.,
machinery assembly supervisor,['ensure compliance with environmental legislation'],"['quality standards', 'functionalities of machinery', 'quality assurance methodologies']","Take this sentence from a Job Posting.

""@@Preparation of reagents for V&V activities@@ such as ##buffers## ##magnetic nanoparticle solutions## ##controls## and ##calibrants## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@ensure compliance with environmental legislation@@, and for knowledge: ##quality standards##, ##functionalities of machinery##, ##quality assurance methodologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","@@Ensure compliance with environmental legislation@@ such as ##quality standards##, ##functionalities of machinery##, ##quality assurance methodologies##.",
material stress analyst,[],['scientific research methodology'],"Take this sentence from a Job Posting.

""Clinical Professor of Neurosurgery Faculty of Health and Medical Sciences <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> The University seeks to appoint a clinical professor of ##Neurosurgery## to the Department of Clinical Medicine to commence as soon as possible .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##scientific research methodology##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The University seeks to appoint a clinical professor with expertise in ##scientific research methodology## to the Department of Clinical Medicine to commence as soon as possible.,
child care social worker,['assess the development of youth'],[],"Take this sentence from a Job Posting.

""User will @@assign documents@@ that will be linked to each individual job – each job will have set of blank documents pre-set however user must be able to remove and replace them;""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@assess the development of youth@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",User will @@assess the development of youth@@ that will be linked to each individual job – each job will have set of blank documents pre-set however user must be able to remove and replace them;,
aquaculture cage mooring worker,"['monitor feeding behaviour', 'prepare fishing equipment', 'collect aquatic resources', 'transfer fish', 'maintain cage nets', 'collect fish samples for diagnosis', 'assist cage net changing']","['health and safety in the workplace', 'health and safety measures in transportation', 'maritime meteorology', 'Global Maritime Distress and Safety System', 'health and safety regulations']","Take this sentence from a Job Posting.

""Your responsibility @@Implementation@@ @@analysis@@ @@bug-fixing@@ and @@test@@ of the application in cooperation with the rest of the team @@Design user interfaces and application flow@@ based on customers demands PO input usage statistics and field observations @@Coordinate with other teams@@ to align the work flow the UI and shared data with other 3Shape software products To @@continuously improve the way we work@@ and to be even more agile more accountable more supportive and better performing Play a key part in ensuring a high-quality medical software product Your Profile  ##Bachelor or Masters degree## in ##Computer Science## ##Engineering## or equivalent  At least 2-3 years practical experience in ##C#/## ##.##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@monitor feeding behaviour@@, @@prepare fishing equipment@@, @@collect aquatic resources@@, @@transfer fish@@, @@maintain cage nets@@, @@collect fish samples for diagnosis@@, @@assist cage net changing@@, and for knowledge: ##health and safety in the workplace##, ##health and safety measures in transportation##, ##maritime meteorology##, ##Global Maritime Distress and Safety System##, ##health and safety regulations##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","As part of your role, you will be required to monitor feeding behaviour, prepare fishing equipment, collect aquatic resources, transfer fish, maintain cage nets, collect fish samples for diagnosis, and assist in cage net changing. These tasks will be carried out in collaboration with the rest of the team. 

In addition, you will be tasked with designing user interfaces and application flow based on customer demands, usage statistics, and field observations. You will also need to coordinate with other teams to align the workflow, the UI, and shared data with other 3Shape software products. 

A key part of your role will be to continuously improve the way we work, striving to be more agile, accountable, supportive, and high-performing. You will play a crucial role in ensuring the delivery of a high-quality medical software product. 

The ideal candidate will have knowledge in health and safety in the workplace, health and safety measures in transportation, maritime meteorology, the Global Maritime Distress and Safety System, and health and safety regulations. 

Practical experience of at least 2-3 years in C# is also required.","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Your responsibility @@monitor feeding behaviour@@, @@prepare fishing equipment@@, @@collect aquatic resources@@, @@transfer fish@@, @@maintain cage nets@@, @@collect fish samples for diagnosis@@, and @@assist cage net changing@@ in cooperation with the rest of the team @@Design user interfaces and application flow@@ based on customers demands PO input usage statistics and field observations @@Coordinate with other teams@@ to align the work flow the UI and shared data with other 3Shape software products To @@continuously improve the way we work@@ and to be even more agile more accountable more supportive and better performing Play a key part in ensuring a high-quality medical software product Your Profile  ##health and safety in the workplace##, ##health and safety measures in transportation##, ##maritime meteorology##, ##Global Maritime Distress and Safety System##, ##health and safety regulations##  At least 2-3 years practical experience in ##C#/## ##.##""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
furniture designer,['design props'],[],"Take this sentence from a Job Posting.

""You know how to @@incorporate develop and update security measures on the wireless systems@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@design props@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You know how to @@design props@@.,
dividend analyst,"['create a financial plan', 'obtain financial information', 'monitor stock market']",[],"Take this sentence from a Job Posting.

"" Must be @@prompt@@ @@dependable@@ and @@reliable!@@  Applicants must receive satisfactory results from a background check as conducted in accordance with applicable laws and must pass drug screening and must be smoke-free .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create a financial plan@@, @@obtain financial information@@, @@monitor stock market@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Must be able to @@create a financial plan@@, @@obtain financial information@@, and @@monitor the stock market@@! Applicants must receive satisfactory results from a background check as conducted in accordance with applicable laws and must pass drug screening and must be smoke-free.",
tooling engineer,[],"['electromechanics', 'mathematics']","Take this sentence from a Job Posting.

""The engineered delivery systems are to be used for ##cancer immunotherapy## and will be tested in ##vitro/ex vivo and in vivo efficacy studies## combined with standard cancer treatments in collaboration with other scientists in the group .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##electromechanics##, ##mathematics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The engineered delivery systems are to be used for ##electromechanics## and will be tested in ##mathematics## combined with standard electromechanical treatments in collaboration with other scientists in the group.,
election observer,['establish collaborative relations'],[],"Take this sentence from a Job Posting.

""You thrive by @@working independently and efficiently@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@establish collaborative relations@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You thrive by @@establishing collaborative relations@@.,
household goods distribution manager,[],['household products'],"Take this sentence from a Job Posting.

""Proficiency in both verbal and written ##English## is a prerequisite .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##household products##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Proficiency in both usage and knowledge of ##household products## is a prerequisite.,
corporate investment banker,"['develop investment portfolio', 'examine credit ratings', 'manage contracts']",[],"Take this sentence from a Job Posting.

""You can recognize yourself in an environment with values like thriving for @@matching the strategic business needs@@ through modern and robust technology and @@desiring change@@ while always @@having the end customer in mind@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop investment portfolio@@, @@examine credit ratings@@, @@manage contracts@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You can recognize yourself in an environment with values like thriving for @@developing investment portfolio@@ through modern and robust technology and @@examining credit ratings@@ while always @@managing contracts@@.,
paper engineer,['keep records of work progress'],[],"Take this sentence from a Job Posting.

""The products can be anything from screws to car tires and therefore you will have to @@do some lifts@@ during the day .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@keep records of work progress@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The products can be anything from screws to car tires and therefore you will have to @@keep records of work progress@@ during the day.,
optical engineer,['use precision tools'],['digital camera sensors'],"Take this sentence from a Job Posting.

""You are also experienced in ##programme- and transformation management## @@managing several related projects@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@use precision tools@@, and for knowledge: ##digital camera sensors##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You are also experienced in ##digital camera sensors## @@use precision tools@@.,
software analyst,"['use an application-specific interface', 'develop documentation in accordance with legal requirements']",[],"Take this sentence from a Job Posting.

""You manage to @@focus on the long-term effects and also the strategic@@ importance in the collaboration with partners to @@secure a successful business project@@ for all parties involved .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use an application-specific interface@@, @@develop documentation in accordance with legal requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You manage to @@use an application-specific interface@@ and also the strategic importance in the collaboration with partners to @@develop documentation in accordance with legal requirements@@ for all parties involved.,
movie distributor,['determine release date'],[],"Take this sentence from a Job Posting.

""But now we want to be even better! Were looking for a @@passionate@@ Senior Process Engineer for the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> department .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@determine release date@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",But now we want to be even better! We're looking for a Senior Process Engineer with the ability to @@determine release date@@ for the <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> department.,
router operator,['apply a protective layer'],"['types of metal', 'quality standards']","Take this sentence from a Job Posting.

""Who are you? You have a relevant ##financial masters degree## giving you solid ##theoretical knowledge## that matches your @@business acumen@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply a protective layer@@, and for knowledge: ##types of metal##, ##quality standards##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Who are you? You have a relevant ##types of metal## and ##quality standards## knowledge giving you solid ##theoretical knowledge## that matches your @@apply a protective layer@@ skills.,
animal trainer,['design training programmes for animals'],['anatomy of animals'],"Take this sentence from a Job Posting.

""Our projects bring together various employee groups nationalities cultures and authorities and it is essential that you have excellent @@communication@@ skills and speak and write ##English## fluently .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@design training programmes for animals@@, and for knowledge: ##anatomy of animals##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Our projects bring together various employee groups, nationalities, cultures, and authorities, and it is essential that you have excellent @@design training programmes for animals@@ skills and understand the ##anatomy of animals## fluently.",
investment adviser,[],['social bonds'],"Take this sentence from a Job Posting.

""With your advanced knowledge of the ##Scandinavian market## you will be responsible for which sports/Leagues we should focus on and what type of content we should produce in order to localize and create the best user experience in the Scandinavian markets .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##social bonds##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We're looking for someone with an advanced understanding of ##social bonds## to guide our focus on specific sports/leagues. Your expertise will be crucial in determining the type of content we produce to best localize and enhance user experience within the context of social bonds.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""With your advanced knowledge of ##social bonds## you will be responsible for which sports/Leagues we should focus on and what type of content we should produce in order to localize and create the best user experience in the context of social bonds.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
medical goods shop manager,"['order supplies', 'maintain relationship with customers', 'oversee promotional sales prices', 'ensure correct goods labelling']","['employment law', 'medicines for self-medication']","Take this sentence from a Job Posting.

""Taking on an ##agile## approach to @@developing smart solutions@@ based on existing Nets infrastructure you @@visit the customers on-site@@ to understand their needs and requirements @@Digital savvy@@ and an excellent @@communicator@@ You hold a relevant ##higher technical education## providing you with a solid technical understanding .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@order supplies@@, @@maintain relationship with customers@@, @@oversee promotional sales prices@@, @@ensure correct goods labelling@@, and for knowledge: ##employment law##, ##medicines for self-medication##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""As an individual with a solid understanding of ##employment law##, you will be responsible for @@ordering supplies@@ based on our existing Nets infrastructure. Your role will also involve @@maintaining relationships with customers@@ on-site to understand their needs and requirements. You will @@oversee promotional sales prices@@ and ensure @@correct goods labelling@@. Your relevant knowledge in ##medicines for self-medication## will provide you with a solid technical understanding for this role.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Taking on an ##employment law## approach to @@order supplies@@ based on existing Nets infrastructure, you @@maintain relationship with customers@@ on-site to understand their needs and requirements. @@Oversee promotional sales prices@@ and an excellent @@ensure correct goods labelling@@. You hold a relevant ##medicines for self-medication## providing you with a solid technical understanding.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
construction equipment technician,['maintain forestry equipment'],[],"Take this sentence from a Job Posting.

""The environment is an innovative one where everything moves quickly; therefore you must be able and willing to @@work on solutions alone as well as with colleagues@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@maintain forestry equipment@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The environment is an innovative one where everything moves quickly; therefore you must be able and willing to @@maintain forestry equipment@@ alone as well as with colleagues.,
jeweller,"['ensure conformance to jewel design specifications', 'design objects to be crafted', 'select restoration activities']",[],"Take this sentence from a Job Posting.

""Furthermore you possess the ability to @@lead the projects@@ and @@create value from early ideas@@ to realised benefits for the customers by @@building the right level of readiness energy and ownership@@ around the coming changes .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@ensure conformance to jewel design specifications@@, @@design objects to be crafted@@, @@select restoration activities@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Furthermore you possess the ability to @@ensure conformance to jewel design specifications@@ and @@design objects to be crafted@@ to realised benefits for the customers by @@selecting restoration activities@@ around the coming changes.,
electrical transmission system operator,"['wear appropriate protective gear', 'respond to electrical power contingencies', 'develop strategies for electricity contingencies']",[],"Take this sentence from a Job Posting.

""You will @@work closely and spar with a strong team@@ across Supply Chain Finance where there are continuous opportunities to @@learn@@ and @@develop@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@wear appropriate protective gear@@, @@respond to electrical power contingencies@@, @@develop strategies for electricity contingencies@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""In this role, you will be expected to @@wear appropriate protective gear@@ as part of your daily duties. You will be part of a dynamic team in Supply Chain Finance, where you will have the opportunity to @@respond to electrical power contingencies@@. This position also requires you to @@develop strategies for electricity contingencies@@, ensuring continuous operations.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""You will @@wear appropriate protective gear@@ and spar with a strong team across Supply Chain Finance where there are continuous opportunities to @@respond to electrical power contingencies@@ and @@develop strategies for electricity contingencies@@.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
meat and meat products distribution manager,['perform financial risk management in international trade'],[],"Take this sentence from a Job Posting.

""Experience with @@creation of learning materials@@ would be preferred .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@perform financial risk management in international trade@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with @@performing financial risk management in international trade@@ would be preferred.,
equality and inclusion manager,"['identify policy breach', 'provide advice on breaches of regulation']","['personnel management', 'employment law']","Take this sentence from a Job Posting.

""The applicants should hold a ##PhD degree## in a relevant field preferably within ##organic- and/or physical-chemistry## and should have a strong interest in @@working experimentally in a cross-disciplinary environment@@ and have very good @@collaboration skills@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@identify policy breach@@, @@provide advice on breaches of regulation@@, and for knowledge: ##personnel management##, ##employment law##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The applicants should hold a ##personnel management## and ##employment law## degree in a relevant field and should have a strong interest in @@identifying policy breaches in a cross-disciplinary environment@@ and have very good @@skills in providing advice on breaches of regulation@@.,
social pedagogue,[],['disability care'],"Take this sentence from a Job Posting.

""Preferably you speak ##Danish## as well .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##disability care##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Preferably you have knowledge in ##disability care## as well.,
industrial firefighter,[],"['industrial tools', 'regulations on substances']","Take this sentence from a Job Posting.

""You have a relevant ##master degree within Finance or management## and a minimum of a couple of years work experience ideally within ##Finance## or related area .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##industrial tools##, ##regulations on substances##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You have a relevant ##master degree within industrial tools or regulations on substances## and a minimum of a couple of years work experience ideally within ##industrial tools## or related area.,
motor vehicle parts assembler,[],"['mechanics of motor vehicles', 'defense system']","Take this sentence from a Job Posting.

""Your profile We expect some years of experience and a proven track record as TechOps Engineer ##SRE## or ##System Administration## from a relevant industry .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##mechanics of motor vehicles##, ##defense system##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Your profile We expect some years of experience and a proven track record in the ##mechanics of motor vehicles## or ##defense system## from a relevant industry.,
choreologist,"['work with broad variety of personalities', 'manage artistic career']",[],"Take this sentence from a Job Posting.

""If you are a @@specialist@@ who @@prioritises professional medical development@@ we can offer you an exciting position that will allow you to build upon your existing competencies .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@work with broad variety of personalities@@, @@manage artistic career@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are offering an exciting position for those who have the @@skill to work with a broad variety of personalities@@ and @@manage artistic careers@@. This role will allow you to further develop and build upon your existing competencies.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""If you are a @@work with broad variety of personalities@@ who @@manages artistic career@@ we can offer you an exciting position that will allow you to build upon your existing competencies.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
political affairs officer,[],"['foreign affairs policy development', 'scientific research methodology']","Take this sentence from a Job Posting.

""The ideal candidate should possess strong ##business and analytical expertise## as well as strong ##account management## expertise .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##foreign affairs policy development##, ##scientific research methodology##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The ideal candidate should possess strong ##foreign affairs policy development## expertise as well as strong ##scientific research methodology## expertise.,
aromatherapist,['comply with quality standards related to healthcare practice'],"['types of aromatherapy treatments', 'general medicine', 'human physiology', 'energy therapy', 'tai chi']","Take this sentence from a Job Posting.

""The ideal candidate for this challenging project is highly @@motivated@@ and has skills in ##antibody engineering## ##phage display## ##protein expression## and ##purification protein analytics## and experiences in ##bioreactor handling## would be of advantage .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@comply with quality standards related to healthcare practice@@, and for knowledge: ##types of aromatherapy treatments##, ##general medicine##, ##human physiology##, ##energy therapy##, ##tai chi##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","The ideal candidate for this challenging project is highly @@comply with quality standards related to healthcare practice@@ and has knowledge in ##types of aromatherapy treatments##, ##general medicine##, ##human physiology##, ##energy therapy## and ##tai chi## would be of advantage.",
marine biologist,['analyse fish samples for diagnosis'],[],"Take this sentence from a Job Posting.

""@@Specifying items for purchase in ERP system@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@analyse fish samples for diagnosis@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Analysing fish samples for diagnosis@@.,
bank treasurer,['strive for company growth'],[],"Take this sentence from a Job Posting.

""Would you like to @@build market-leading substations@@ for offshore wind farms? <ORGANIZATION> <ORGANIZATION> is seeking high-/medium-voltage engineers mechanical engineers SCADA/control engineers and low-voltage engineers .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@strive for company growth@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Would you like to @@strive for company growth@@? <ORGANIZATION> <ORGANIZATION> is seeking high-/medium-voltage engineers, mechanical engineers, SCADA/control engineers, and low-voltage engineers.",
mutual fund broker,"['implement hedging strategies for clients', 'create a financial plan', 'analyse financial risk']",['financial markets'],"Take this sentence from a Job Posting.

""· You will @@have a broad interface across the organization@@ where you will be @@cooperating with senior project managers@@ @@heading ##wind turbine development## projects@@ and senior technical staff as well as core specialist customer representatives and grid operators .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement hedging strategies for clients@@, @@create a financial plan@@, @@analyse financial risk@@, and for knowledge: ##financial markets##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",· You will @@implement hedging strategies for clients@@ across the organization where you will be @@creating a financial plan@@ @@analysing financial risk## in ##financial markets## projects and senior technical staff as well as core specialist customer representatives and grid operators.,
vessel operations coordinator,[],['physical parts of the vessel'],"Take this sentence from a Job Posting.

""You master ##English## on a strategic negotiation level both spoken and written .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##physical parts of the vessel##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You have mastered the ##physical parts of the vessel##, demonstrating this knowledge both in theory and in practical application, and can strategically negotiate based on this expertise.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""You master ##physical parts of the vessel## on a strategic negotiation level both in theory and practice.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
industrial production manager,"['oversee production requirements', 'create manufacturing guidelines', 'define quality standards', 'adhere to organisational guidelines', 'analyse production processes for improvement']",[],"Take this sentence from a Job Posting.

""You are a @@holistic@@ and @@fact based@@ @@pragmatic@@ @@decision maker@@ and you understand how to @@work in a global company with many different cultures@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@oversee production requirements@@, @@create manufacturing guidelines@@, @@define quality standards@@, @@adhere to organisational guidelines@@, @@analyse production processes for improvement@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You are able to @@oversee production requirements@@ and @@create manufacturing guidelines@@, you are proficient in @@defining quality standards@@ and you understand how to @@adhere to organisational guidelines@@ and @@analyse production processes for improvement@@ in a global company with many different cultures.",
specialist nurse,[],"['impact of social contexts on health', 'specialist nursing care']","Take this sentence from a Job Posting.

"" Have a general knowledge of the ##geography of <LOCATION>## and possess knowledge in ##GPS unit## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##impact of social contexts on health##, ##specialist nursing care##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Have a general knowledge of the ##impact of social contexts on health## and possess knowledge in ##specialist nursing care##.,
