occupation_name,skills,knowledge,prompt,results,rephrase_prompts
 capacity planner,"['create solutions to problems', 'administer  system', 'apply company policies', 'perform business analysis', 'provide  consulting advice', 'design process', 'provide user documentation', 'use different communication channels', 'provide cost benefit analysis reports', 'use scripting programming', 'design database scheme', 'collect customer feedback on applications', 'implement a virtual private network', 'analyse business requirements', 'ensure adherence to organisational  standards']","['labour legislation', 'systems development life-cycle', 'MDX', 'SPARQL', ' capacity planning strategies', 'outsourcing strategy', 'query languages', 'LDAP', 'statistical analysis system software', 'cloud technologies', 'LINQ', ' infrastructure', 'insourcing strategy', 'N1QL', ' process quality models']","Take this sentence from a Job Posting.

""WHAT YOU WILL DO Work on ##hearing test## and ##audio personalization technology## testing our ##iOS and Android audio SDK## and its integration into both internal and third-party system platforms @@Plan conduct and document test cases@@ to @@ensure product quality and compliance with high-level software requirements@@ @@Develop and execute manual and automated tests@@ for our existing products and new features @@Take responsibility for developing standards and procedures@@ to @@conclude high software quality and release readiness@@ @@Create clear and concise bug reports@@ with sufficient information for the developers to work on @@resolving the bug in a timely manner@@ @@Work closely with product management and development@@ to @@evaluate findings@@ @@Continuously improve test coverage and quality standards@@ WHAT YOU BRING TO THE TABLE: ##Computer Science## ##Computer Engineering## or an equivalent engineering degree 3+ years of experience in ##mobile testing## ##integration testing## or similar Have a @@strong voice@@ to @@drive and manage ##quality assurance## tasks and projects end to end@@ Excellent knowledge of ##software development lifecycle## ##testing methodologies## and ##testing tools## Experience in ##backend communication protocols## such as ##APIs## and ##web services## Strong knowledge of ##software QA metrics operations## and ##statistics## Experience with at least one programming language such as ##Python## / ##Java## / ##Ruby## etc Detail-oriented @@analytical@@ and @@creative thinker@@ with a passion for ##quality processes## Fluent in ##English## Good to have Experience in ##System Integration Testing## ##embedded systems## or ##integrated devices## @@Comfortable with a dynamic fast-moving and entrepreneurial environment@@ Previous experience with an ##agile development process## Basic working knowledge of ##shell scripting## and various ##Unix command line tools## Knowledge of ##test automation frameworks## ( eg ##Appium## ##Selenium## ) Knowledge of ##version control systems## such as ##GIT## or similar tools WHAT WE OFFER A top-caliber diverse and international team of dedicated domain experts Flexible working and full responsibility for your own projects Remote working opportunities and equipment Yearly education budget and a company culture that nourishes personal growth Modern working equipment plus plenty of audio perks and cool toys to try out Weekly company meals team-building events and an annual summer trip Flexible holiday policy Monthly <ORGANIZATION> credit The opportunity to make an impact on an untapped market and contribute to the development of a truly innovative product and company Find out more about us on our website: <CONTACT> DISCLAIMER We know that some people have a tendency not to apply to jobs unless they meet 100% of the requirements .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@create solutions to problems@@, @@administer  system@@, @@apply company policies@@, @@perform business analysis@@, @@provide  consulting advice@@, @@design process@@, @@provide user documentation@@, @@use different communication channels@@, @@provide cost benefit analysis reports@@, @@use scripting programming@@, @@design database scheme@@, @@collect customer feedback on applications@@, @@implement a virtual private network@@, @@analyse business requirements@@, @@ensure adherence to organisational  standards@@, and for knowledge: ##labour legislation##, ##systems development life-cycle##, ##MDX##, ##SPARQL##, ## capacity planning strategies##, ##outsourcing strategy##, ##query languages##, ##LDAP##, ##statistical analysis system software##, ##cloud technologies##, ##LINQ##, ## infrastructure##, ##insourcing strategy##, ##N1QL##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",WHAT YOU WILL DO Work on ##labour legislation## and ##systems development life-cycle## testing our ##MDX and SPARQL capacity planning strategies## and its integration into both internal and third-party system platforms @@create solutions to problems@@ to @@ensure adherence to organisational standards@@ @@administer system and apply company policies@@ for our existing products and new features @@perform business analysis and provide consulting advice@@ to @@design process and provide user documentation@@ @@use different communication channels@@ with sufficient information for the developers to work on @@providing cost benefit analysis reports in a timely manner@@ @@work closely with product management and development@@ to @@analyse business requirements@@ @@continuously improve test coverage and quality standards@@ WHAT YOU BRING TO THE TABLE: ##outsourcing strategy## ##query languages## or an equivalent engineering degree 3+ years of experience in ##LDAP## ##statistical analysis system software## or similar Have a @@use scripting programming@@ to @@drive and manage ##cloud technologies## tasks and projects end to end@@ Excellent knowledge of ##LINQ## ##infrastructure## and ##insourcing strategy## Experience in ##N1QL## such as ##process quality models## and ##web services## Strong knowledge of ##software QA metrics operations## and ##statistics## Experience with at least one programming language such as ##Python## / ##Java## / ##Ruby## etc Detail-oriented @@analytical@@ and @@creative thinker@@ with a passion for ##quality processes## Fluent in ##English## Good to have Experience in ##System Integration Testing## ##embedded systems## or ##integrated devices## @@Comfortable with a dynamic fast-moving and entrepreneurial environment@@ Previous experience with an ##agile development process## Basic working knowledge of ##shell scripting## and various ##Unix command line tools## Knowledge of ##test automation frameworks## ( eg ##Appium## ##Selenium## ) Knowledge of ##version control systems## such as ##GIT## or similar tools WHAT WE OFFER A top-caliber diverse and international team of dedicated domain experts Flexible working and full responsibility for your own projects Remote working opportunities and equipment Yearly education budget and a company culture that nourishes personal growth Modern working equipment plus plenty of audio perks and cool toys to try out Weekly company meals team-building events and an annual summer trip Flexible holiday policy Monthly <ORGANIZATION> credit The opportunity to make an impact on an untapped market and contribute to the development of a truly innovative product and company Find out more about us on our website: <CONTACT> DISCLAIMER We know that some people have a tendency not to apply to jobs unless they meet 100% of the requirements .,
 research consultant,"['monitor  research', 'conduct research across disciplines']",[],"Take this sentence from a Job Posting.

""Fluent in @@German@@ and @@English@@ ( verbal and written ) What we offer:""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@monitor  research@@, @@conduct research across disciplines@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Fluent in @@monitor research@@ and @@conduct research across disciplines@@ (verbal and written) What we offer:,
digital forensics expert,[],['computer forensics'],"Take this sentence from a Job Posting.

""Opinionated on ##Java best practices## and applying them to enterprise code .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##computer forensics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Opinionated on ##computer forensics## best practices and applying them to enterprise investigations.,
industrial mobile devices software developer,[],"['Perl', 'BlackBerry']","Take this sentence from a Job Posting.

""Solid knowledge of ##Oracle database## and ##SQL queries## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Perl##, ##BlackBerry##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Solid knowledge of ##Perl## and ##BlackBerry##.,
 security administrator,['implement anti-virus software'],[],"Take this sentence from a Job Posting.

""You will be successful if you are able to @@convince through pragmatism flexibility and effectiveness@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement anti-virus software@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will be successful if you are able to @@implement anti-virus software@@.,
software developer,['use concurrent programming'],[],"Take this sentence from a Job Posting.

""There are new platforms to build into the current systems as well as @@defining and building new systems@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use concurrent programming@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",There are new platforms to build into the current systems as well as @@use concurrent programming@@.,
 business analyst,['implement strategic planning'],"['business requirements techniques', 'information architecture', 'innovation processes', 'information extraction', 'unstructured data']","Take this sentence from a Job Posting.

""iOS Developer <ORGANIZATION> <ADDRESS> 02000 <LOCATION> - <LOCATION> Date posted: 2021-03-12 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Role: Mobile Developer Industry: ##Information Technology## ##Internet of Things## Company size: 1k–5k people Company type: Private Technologies ios ##swift## ##mobile## Job description Job Summary We are looking for an iOS Developer who possesses a passion for ##mobile technologies## and will work with our team of talented engineers to @@design and build applications@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement strategic planning@@, and for knowledge: ##business requirements techniques##, ##information architecture##, ##innovation processes##, ##information extraction##, ##unstructured data##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",iOS Developer <ORGANIZATION> <ADDRESS> 02000 <LOCATION> - <LOCATION> Date posted: 2021-03-12 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Role: Mobile Developer Industry: ##business requirements techniques## ##information architecture## ##innovation processes## ##information extraction## ##unstructured data## Company size: 1k–5k people Company type: Private Technologies ios Job description Job Summary We are looking for an iOS Developer who possesses a passion for ##business requirements techniques## and will work with our team of talented engineers to @@implement strategic planning@@.,
 application configurator,"['use logic programming', 'develop software prototype']",[],"Take this sentence from a Job Posting.

""Will primarily @@use existing procedures and tools@@ to @@develop and safely execute network change@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use logic programming@@, @@develop software prototype@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Will primarily @@use logic programming@@ to @@develop software prototype@@ safely.,
 system administrator,[],[' system programming'],"Take this sentence from a Job Posting.

""##Financial Services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## system programming##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##System Programming##,
industrial mobile devices software developer,[],"['industrial software', 'Eclipse (integrated development environment software)']","Take this sentence from a Job Posting.

""Our Java services are built on ##Java 11## and ##Spring ( Boot )## so expertise in these areas is highly desirable .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##industrial software##, ##Eclipse (integrated development environment software)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Our industrial software is built on ##industrial software## and ##Eclipse (integrated development environment software)## so expertise in these areas is highly desirable.,
embedded system designer,[],"['systems development life-cycle', ' system integration', 'MATLAB']","Take this sentence from a Job Posting.

""* Advanced knowledge of ##application## ##data## and ##infrastructure architecture## disciplines""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##systems development life-cycle##, ## system integration##, ##MATLAB##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","* Advanced knowledge of ##systems development life-cycle##, ##system integration## and ##MATLAB## disciplines",
database administrator,['define database physical structure'],"['DB2', 'Microsoft Access', 'OpenEdge Database', 'TripleStore', 'SPARQL', 'query languages', 'LDAP', 'PostgreSQL', 'online analytical processing', 'SQL Server', 'Teradata Database', 'MarkLogic']","Take this sentence from a Job Posting.

""- Experienced in the use of ##http libraries## for @@consuming ##http## based web services in an efficient manner -@@ ##Software engineering practices## including: ##design patterns## ##unit testing## with ##Mockito## ##JUnit## ##automated build and test systems## for ##CI/CD## ( using ##Jenkins## or similar ) and ##TDD## are a must - Experience using ##GIT## is a must Team Overview: OTT: Our team develops and supports technologies for <ORGANIZATION> globally .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@define database physical structure@@, and for knowledge: ##DB2##, ##Microsoft Access##, ##OpenEdge Database##, ##TripleStore##, ##SPARQL##, ##query languages##, ##LDAP##, ##PostgreSQL##, ##online analytical processing##, ##SQL Server##, ##Teradata Database##, ##MarkLogic##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","- Experienced in the use of ##DB2##, ##Microsoft Access##, ##OpenEdge Database##, ##TripleStore##, ##SPARQL##, ##query languages##, ##LDAP##, ##PostgreSQL##, ##online analytical processing##, ##SQL Server##, ##Teradata Database##, ##MarkLogic## for @@defining database physical structure@@ in an efficient manner - ##Software engineering practices## including: ##design patterns## ##unit testing## with ##Mockito## ##JUnit## ##automated build and test systems## for ##CI/CD## ( using ##Jenkins## or similar ) and ##TDD## are a must - Experience using ##GIT## is a must Team Overview: OTT: Our team develops and supports technologies for <ORGANIZATION> globally.",
 network administrator,[],['Apache Tomcat'],"Take this sentence from a Job Posting.

""##Prince 2## or similar qualification .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Apache Tomcat##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Apache Tomcat## or similar qualification.,
data scientist,['manage data collection systems'],"['query languages', 'unstructured data']","Take this sentence from a Job Posting.

""You are comfortable @@working with code@@ both on the ##server-side## and ##client-side## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage data collection systems@@, and for knowledge: ##query languages##, ##unstructured data##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You are comfortable @@managing data collection systems@@ both in the context of ##query languages## and ##unstructured data##.,
blockchain architect,[],"['principles of distributed ledger technology', 'design thinking']","Take this sentence from a Job Posting.

""While you should have a knowledge of ##Typescript## ##functional programming## is just a nice-to-have .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##principles of distributed ledger technology##, ##design thinking##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","While you should have a knowledge of ##principles of distributed ledger technology##, ##design thinking## is just a nice-to-have.",
 system architect,['solve  system problems'],"['SAS language', 'hardware platforms', 'ML (computer programming)']","Take this sentence from a Job Posting.

""@@Create and maintain documentation related to endpoint solutions;@@ this may include ##conceptual logical and physical diagrams;## ##new environment design documents;## ##write ups on technical capabilities and solution configurations;## etc .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@solve  system problems@@, and for knowledge: ##SAS language##, ##hardware platforms##, ##ML (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","@@Solve system problems@@; this may include knowledge of ##SAS language##, understanding of ##hardware platforms##, and proficiency in ##ML (computer programming)##, etc.",
knowledge engineer,[],['information categorisation'],"Take this sentence from a Job Posting.

""* Hands on experience with ##Spring framework## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##information categorisation##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Hands on experience with ##information categorisation##.,
 resilience manager,[],"['internal risk management policy', 'cloud security and compliance', ' network security risks', 'organisational resilience', 'human-computer interaction', ' recovery techniques', ' process quality models']","Take this sentence from a Job Posting.

""Will be a plus: PHP - BIG PLUS; Nginx/Varnish; ##CI/CD -## ##Jenkins pipelines;## ##Infrastructure as code:## ##Terraform;## ##Ansible Docker;## Experience with ##DDD ( Domain Driven Design )## projects; Working with ##Agile methodology## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##internal risk management policy##, ##cloud security and compliance##, ## network security risks##, ##organisational resilience##, ##human-computer interaction##, ## recovery techniques##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Will be a plus: PHP - BIG PLUS; Nginish/Varnish; ##internal risk management policy##; ##cloud security and compliance##; ##Infrastructure as code:## ##network security risks##; ##organisational resilience##; Experience with ##human-computer interaction## projects; Working with ##recovery techniques## and ##process quality models##.,
user interface developer,[],"['Smalltalk (computer programming)', ' debugging tools', 'Vagrant', 'Objective-C']","Take this sentence from a Job Posting.

""Minimum requirement: * Extensive knowledge of ##Java 8## or higher development including areas such as ##Spring## ##Spring Boot## etc as well as ##front end technologies## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Smalltalk (computer programming)##, ## debugging tools##, ##Vagrant##, ##Objective-C##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Minimum requirement: * Extensive knowledge of ##Smalltalk (computer programming)## or higher development including areas such as ##debugging tools##, ##Vagrant## etc as well as ##Objective-C##.",
 system developer,"['use software design patterns', 'create flowchart diagram', 'integrate system components']",[],"Take this sentence from a Job Posting.

""You are @@intelligent@@ @@motivated@@ and @@hard-working@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use software design patterns@@, @@create flowchart diagram@@, @@integrate system components@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You are @@use software design patterns@@, @@create flowchart diagram@@, and @@integrate system components@@.",
 security manager,['implement anti-virus software'],[],"Take this sentence from a Job Posting.

""A minimum of 8+ years experience of @@running large scale customer facing web services@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement anti-virus software@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",A minimum of 8+ years experience of @@implementing anti-virus software@@.,
chief  security officer,[],"['internal risk management policy', 'cloud security and compliance', ' security standards', 'software anomalies', 'World Wide Web Consortium standards', 'information confidentiality', ' recovery techniques']","Take this sentence from a Job Posting.

""Interest or experience with ##IoT## ##Cloud## & ##Cloud Provider## ( ##Azure## ##AWS## ##Google Cloud## etc. ) or ##BigData## would be a plus""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##internal risk management policy##, ##cloud security and compliance##, ## security standards##, ##software anomalies##, ##World Wide Web Consortium standards##, ##information confidentiality##, ## recovery techniques##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Interest or experience with ##internal risk management policy##, ##cloud security and compliance## & ##security standards## ( ##software anomalies##, ##World Wide Web Consortium standards##, ##information confidentiality## etc. ) or ##recovery techniques## would be a plus.",
 capacity planner,"['perform  troubleshooting', 'ensure adherence to organisational  standards', 'perform project management']",['systems development life-cycle'],"Take this sentence from a Job Posting.

""You know how to work with ##MySQL## @@effectively using indexes@@ @@optimizing slow queries@@ and @@avoid common problems@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@perform  troubleshooting@@, @@ensure adherence to organisational  standards@@, @@perform project management@@, and for knowledge: ##systems development life-cycle##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You know how to work with ##systems development life-cycle## @@perform troubleshooting@@, @@ensure adherence to organisational standards@@ and @@perform project management@@ effectively.",
database developer,['perform data mining'],"['Objective-C', 'Oracle Relational Database']","Take this sentence from a Job Posting.

""@@Propose and implement improvements@@ to our ##software development and delivery processes## via our sprints and ##Agile## ceremonies .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@perform data mining@@, and for knowledge: ##Objective-C##, ##Oracle Relational Database##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Perform data mining@@ to improve our ##Objective-C## and ##Oracle Relational Database## via our sprints and Agile ceremonies.,
 quality assurance manager,['manage data'],[],"Take this sentence from a Job Posting.

""@@Serve as escalation point for event remediation@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage data@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Manage data@@ as an escalation point for event remediation.,
 change and configuration manager,['perform project management'],"['Vagrant', 'DevOps']","Take this sentence from a Job Posting.

""You will also have sufficient knowledge within the fields of ##databases networking## and ##storage## to @@identify problems@@ on those systems .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@perform project management@@, and for knowledge: ##Vagrant##, ##DevOps##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will also have sufficient knowledge within the fields of ##Vagrant## and ##DevOps## to @@perform project management@@ on those systems.,
blockchain architect,[],"['principles of distributed ledger technology', 'blockchain platforms']","Take this sentence from a Job Posting.

""- Using tools like ##webpack## and ##snowpack## in your workflow""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##principles of distributed ledger technology##, ##blockchain platforms##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",- Using knowledge like ##principles of distributed ledger technology## and ##blockchain platforms## in your workflow,
 system developer,[],['blockchain openness'],"Take this sentence from a Job Posting.

""##JavaScript## Developer""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##blockchain openness##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We are seeking a Developer with a deep understanding of ##Blockchain Openness##.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""##Blockchain Openness## Developer""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
 security administrator,[],"['organisational resilience', 'cyber security']","Take this sentence from a Job Posting.

""You should have a sound knowledge of ##software design## and some knowledge of ##software architecture## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##organisational resilience##, ##cyber security##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You should have a sound knowledge of ##organisational resilience## and some knowledge of ##cyber security##.,
blockchain architect,[],"['principles of distributed ledger technology', 'blockchain openness', 'cloud technologies']","Take this sentence from a Job Posting.

""##amazon-web-services## ##cloud## ##web-services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##principles of distributed ledger technology##, ##blockchain openness##, ##cloud technologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##principles of distributed ledger technology## ##blockchain openness## ##cloud technologies##,
ethical hacker,[],['computer forensics'],"Take this sentence from a Job Posting.

""A ##BS or MS in Computer Science## or equivalent .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##computer forensics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",A ##computer forensics## degree or equivalent.,
 business analysis manager,[],"['data mining', 'visual presentation techniques', 'information extraction', 'business strategy concepts']","Take this sentence from a Job Posting.

""We want people to come with experience in the following: JavaScript Python Any experience with ##DevOps## would be ideal React Redux Angular Node Java for our ##back-end development## An ##Agile## outlook and experience in a ##Scrum## environment Job benefits: - Company description: <DESCRIPTION>$""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##data mining##, ##visual presentation techniques##, ##information extraction##, ##business strategy concepts##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We want people to come with experience in the following: JavaScript Python Any experience with ##data mining## would be ideal React Redux Angular Node Java for our ##visual presentation techniques## An ##information extraction## outlook and experience in a ##business strategy concepts## environment Job benefits: - Company description: <DESCRIPTION>$,
industrial mobile devices software developer,[],['R'],"Take this sentence from a Job Posting.

""##Financial Services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##R##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",This sentence lacks any job-related knowledge or skills. Please provide a complete sentence.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""##R##""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
user interface developer,['debug software'],"['Ajax Framework', 'MATLAB']","Take this sentence from a Job Posting.

""• Understanding of the ##mobile development space## and some experience in @@developing ##responsive web apps .##@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@debug software@@, and for knowledge: ##Ajax Framework##, ##MATLAB##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","• Understanding of the ##Ajax Framework## and ##MATLAB##, and some experience in @@debugging software@@.",
IT auditor,[],"[' security standards', ' project management']","Take this sentence from a Job Posting.

""##GIT## or ##SVN##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## security standards##, ## project management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Security Standards## or ##Project Management##,
