occupation_name,skills,knowledge,prompt,results,original_sentences
 resilience manager,"['implement  risk management', 'identify  security risks']",[' process quality models'],"Take this sentence from a Job Posting.

""You'll be required to @@apply your depth of knowledge and expertise@@ to all aspects of the ##software development lifecycle## as well as @@partner continuously with your many stakeholders@@ on a daily basis to stay focused on common goals .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement  risk management@@, @@identify  security risks@@, and for knowledge: ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You'll be required to @@implement risk management@@ and @@identify security risks@@ to all aspects of the ##process quality models## as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals.,"""You'll be required to @@apply your depth of knowledge and expertise@@ to all aspects of the ##software development lifecycle## as well as @@partner continuously with your many stakeholders@@ on a daily basis to stay focused on common goals ."""
numerical tool and process control programmer,['read standard blueprints'],['mathematics'],"Take this sentence from a Job Posting.

""Your responsibilities: @@Oversee the transition of the codebase@@ from an external development agency that has developed a successful ( and well documented ) ##MVP## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@read standard blueprints@@, and for knowledge: ##mathematics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Your responsibilities: @@read standard blueprints@@ from an external agency that has developed a successful (and well documented) understanding of ##mathematics##.,"""Your responsibilities: @@Oversee the transition of the codebase@@ from an external development agency that has developed a successful ( and well documented ) ##MVP## ."""
 integration tester,"['debug software', 'provide software testing documentation', 'manage system testing']",[],"Take this sentence from a Job Posting.

""Our customers love our product and your work helps to keep it that way! The chance to @@make a decisive impact@@ and @@shape the future@@ of a dynamic fast growing tech company while @@growing with your tasks and responsibilities@@ A agile team that embodies autonomy and fast decision making within flat hierarchies A personal budget for trainings and learnings A product and company customers love A wide range of education and training opportunities Flexible and family-friendly working conditions An office in one of the most beautiful central districts of <LOCATION> ( currently home office ) Regular events of all sorts in a familiar atmosphere Interested? Then contact us now! You can get insights about working <ORGANIZATION> at: <CONTACT> ! Contact: <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <CONTACT> <CONTACT> <LOCATION> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Please refrain from contacting personnel service providers consultants or other external service providers by telephone! Likewise please refrain from unsolicited profile presentations! Job benefits: Wir haben flexible und familienfreundliche Arbeitszeiten .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@debug software@@, @@provide software testing documentation@@, @@manage system testing@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Our customers love our product and your work helps to keep it that way! The chance to @@debug software@@ and @@provide software testing documentation@@ of a dynamic fast growing tech company while @@managing system testing@@ A agile team that embodies autonomy and fast decision making within flat hierarchies A personal budget for trainings and learnings A product and company customers love A wide range of education and training opportunities Flexible and family-friendly working conditions An office in one of the most beautiful central districts of <LOCATION> ( currently home office ) Regular events of all sorts in a familiar atmosphere Interested? Then contact us now! You can get insights about working <ORGANIZATION> at: <CONTACT> ! Contact: <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <CONTACT> <CONTACT> <LOCATION> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Please refrain from contacting personnel service providers consultants or other external service providers by telephone! Likewise please refrain from unsolicited profile presentations! Job benefits: Wir haben flexible und familienfreundliche Arbeitszeiten .,"""Our customers love our product and your work helps to keep it that way! The chance to @@make a decisive impact@@ and @@shape the future@@ of a dynamic fast growing tech company while @@growing with your tasks and responsibilities@@ A agile team that embodies autonomy and fast decision making within flat hierarchies A personal budget for trainings and learnings A product and company customers love A wide range of education and training opportunities Flexible and family-friendly working conditions An office in one of the most beautiful central districts of <LOCATION> ( currently home office ) Regular events of all sorts in a familiar atmosphere Interested? Then contact us now! You can get insights about working <ORGANIZATION> at: <CONTACT> ! Contact: <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <CONTACT> <CONTACT> <LOCATION> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Please refrain from contacting personnel service providers consultants or other external service providers by telephone! Likewise please refrain from unsolicited profile presentations! Job benefits: Wir haben flexible und familienfreundliche Arbeitszeiten ."""
data warehouse designer,"['migrate existing data', 'define database physical structure', 'use markup languages', 'develop automated migration methods', 'assess  knowledge', 'manage database', 'perform data analysis', 'create software design', 'use databases', 'use access control software', 'store digital data and systems', 'write database documentation', 'design database scheme', 'operate relational database management system', 'use query languages', 'identify software for warehouse management', 'design database in the cloud', 'use back-up and recovery tools', 'create database diagrams', 'create data sets', 'develop reporting software', 'design database backup specifications', 'apply technical communication skills', ""respond to customers' inquiries"", 'manage standards for data exchange', 'manage cloud data and storage', 'define technical requirements', 'build business relationships', 'perform resource planning', 'design user interface']","['Haskell', 'information structure', 'Agile project management', 'Ruby (computer programming)', 'Lisp', 'computer programming', 'Prolog (computer programming)', 'JavaScript', 'Smalltalk (computer programming)', 'ObjectStore', 'MySQL', 'ASP.NET', 'CoffeeScript', 'Objective-C', 'query languages', 'ML (computer programming)', 'LDAP', 'database management systems', 'Swift (computer programming)', ' project management methodologies', 'SQL Server', 'MATLAB', 'CA Datacom/DB', 'Process-based management', 'Lean project management', 'Oracle Relational Database', 'COBOL', 'N1QL']","Take this sentence from a Job Posting.

""YOUR TASKS @@Maintain expand and further develop the ##Data Warehouse architecture##@@ according to new or changing business requirements and to be up to date with ##architectural DWH trends## @@Proactively identify potential issues@@ and @@raise business awareness before impact@@ to the business @@Monitor the performance of ##ETL## applications@@ to @@ensure appropriate performance@@ @@correct errors@@ @@isolate areas for improvement@@ and for general @@debugging@@ @@Supporting your Team Leader@@ in @@organising documenting and distributing all tasks related to new requirements and specifications@@ for our ##Data Warehouse environment## in close cooperation with our <ORGANIZATION> developers our business analysts and our database administration team Get a solid understanding of Greentube’s ##data architecture## and processes to potentially taking over ownership of our ##Data Warehouse environment## in the future ( ##Central <ORGANIZATION>## and ##standalone <ORGANIZATION>## ) @@Support business analysts@@ in @@validating data@@ and @@check whether the definition of the fields being used makes business sense@@ @@Maintain and further develop ##Data Warehouse## access right and security specifications@@ to meet corporate IT security guidelines @@Support implemented BI solutions@@ by @@monitoring and tuning queries and data loads@@ @@addressing user questions concerning ##data integrity##@@ and @@communicating functional and technical issues@@ @@Troubleshoot performance and concurrency issues@@ ( on-call duty ) YOUR PROFILE Completed ##bachelors or masters study## in the ##technical field## 3+ years of experience as a Data Warehouse developer preferably with ##MS SQL server## Work experience in @@working closely with business stakeholders@@ to @@define problems@@ and @@design large-scale enterprise-class solutions@@ Work experience as a SQL Server DBA is an advantage Advanced ##T-SQL## skills ( ideally on ##SQL Server 2012+## ) @@Experience in implementing complex ##data extraction load & transformation ( ETL )##@@ Knowledge of ##MS SQL Server management## & @@administrative tasks@@ e.g Tuning ##Backup## ##Capacity management## ##Data management## ##SQL Server## Agent jobs Experience @@developing ##OLAP/Cubes## ##Data##@@ MartsGood ##MS Office## skills Experience with ##high-volume data tables## and ##highly concurrent transactions## Strong @@analytical and organisational skills@@ Very good @@communication skills@@ and a passion for ##Data Warehousing## Very good knowledge of ##English## both spoken and written Ability to @@work in a team-oriented collaborative environment@@ Willingness to @@learn and improve skills@@ to @@adapt to newer technologies@@ OUR OFFER Challenging tasks in a successful and innovative company based in a central location in <LOCATION> Opportunities for personal development as part of the company’s sustained growth A welcoming working environment in a committed and international team of employees from more than 30 countries Flexible working hours and numerous benefits such as an in-house canteen regular employee events health care benefits further local employee offers and discounts etc .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@migrate existing data@@, @@define database physical structure@@, @@use markup languages@@, @@develop automated migration methods@@, @@assess  knowledge@@, @@manage database@@, @@perform data analysis@@, @@create software design@@, @@use databases@@, @@use access control software@@, @@store digital data and systems@@, @@write database documentation@@, @@design database scheme@@, @@operate relational database management system@@, @@use query languages@@, @@identify software for warehouse management@@, @@design database in the cloud@@, @@use back-up and recovery tools@@, @@create database diagrams@@, @@create data sets@@, @@develop reporting software@@, @@design database backup specifications@@, @@apply technical communication skills@@, @@respond to customers' inquiries@@, @@manage standards for data exchange@@, @@manage cloud data and storage@@, @@define technical requirements@@, @@build business relationships@@, @@perform resource planning@@, @@design user interface@@, and for knowledge: ##Haskell##, ##information structure##, ##Agile project management##, ##Ruby (computer programming)##, ##Lisp##, ##computer programming##, ##Prolog (computer programming)##, ##JavaScript##, ##Smalltalk (computer programming)##, ##ObjectStore##, ##MySQL##, ##ASP.NET##, ##CoffeeScript##, ##Objective-C##, ##query languages##, ##ML (computer programming)##, ##LDAP##, ##database management systems##, ##Swift (computer programming)##, ## project management methodologies##, ##SQL Server##, ##MATLAB##, ##CA Datacom/DB##, ##Process-based management##, ##Lean project management##, ##Oracle Relational Database##, ##COBOL##, ##N1QL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""YOUR TASKS @@migrate existing data@@ and @@define database physical structure@@ for the ##Haskell## according to new or changing business requirements and to be up to date with ##information structure## @@use markup languages@@ and @@develop automated migration methods@@ to @@assess knowledge@@ before impact to the business @@manage database@@ performance of ##Agile project management## applications to @@perform data analysis@@ @@correct errors@@ @@create software design@@ and for general @@use databases@@ @@Supporting your Team Leader@@ in @@use access control software@@ for all tasks related to new requirements and specifications for our ##Ruby (computer programming)## in close cooperation with our <ORGANIZATION> developers our business analysts and our database administration team Get a solid understanding of Greentube’s ##Lisp## and processes to potentially taking over ownership of our ##computer programming## in the future ( ##Central <ORGANIZATION>## and ##standalone <ORGANIZATION>## ) @@store digital data and systems@@ in @@write database documentation@@ and @@check whether the definition of the fields being used makes business sense@@ @@design database scheme@@ and further develop ##Prolog (computer programming)## access right and security specifications to meet corporate IT security guidelines @@operate relational database management system@@ by @@use query languages@@ and @@identify software for warehouse management@@ @@addressing user questions concerning ##JavaScript##@@ and @@communicating functional and technical issues@@ @@Troubleshoot performance and concurrency issues@@ ( on-call duty ) YOUR PROFILE Completed ##Smalltalk (computer programming)## or ##ObjectStore## study in the ##MySQL## 3+ years of experience as a Data Warehouse developer preferably with ##ASP.NET## Work experience in @@design database in the cloud@@ to @@define problems@@ and @@use back-up and recovery tools@@ Work experience as a SQL Server DBA is an advantage Advanced ##CoffeeScript## skills ( ideally on ##Objective-C## ) @@create database diagrams@@ in implementing complex ##query languages## Knowledge of ##ML (computer programming)## & @@create data sets@@ e.g Tuning ##LDAP## ##database management systems## ##Swift (computer programming)## Agent jobs Experience @@develop reporting software## ##Data## MartsGood ##project management methodologies## skills Experience with ##SQL Server## and ##MATLAB## Strong @@design database backup specifications@@ Very good @@apply technical communication skills@@ and a passion for ##CA Datacom/DB## Very good knowledge of ##Process-based management## both spoken and written Ability to @@respond to customers' inquiries@@ Willingness to @@manage standards for data exchange@@ and @@manage cloud data and storage@@ to @@define technical requirements@@ OUR OFFER Challenging tasks in a successful and innovative company based in a central location in <LOCATION> Opportunities for personal development as part of the company’s sustained growth A welcoming working environment in a committed and international team of employees from more than 30 countries Flexible working hours and numerous benefits such as an in-house canteen regular employee events health care benefits further local employee offers and discounts etc .""
","""YOUR TASKS @@Maintain expand and further develop the ##Data Warehouse architecture##@@ according to new or changing business requirements and to be up to date with ##architectural DWH trends## @@Proactively identify potential issues@@ and @@raise business awareness before impact@@ to the business @@Monitor the performance of ##ETL## applications@@ to @@ensure appropriate performance@@ @@correct errors@@ @@isolate areas for improvement@@ and for general @@debugging@@ @@Supporting your Team Leader@@ in @@organising documenting and distributing all tasks related to new requirements and specifications@@ for our ##Data Warehouse environment## in close cooperation with our <ORGANIZATION> developers our business analysts and our database administration team Get a solid understanding of Greentube’s ##data architecture## and processes to potentially taking over ownership of our ##Data Warehouse environment## in the future ( ##Central <ORGANIZATION>## and ##standalone <ORGANIZATION>## ) @@Support business analysts@@ in @@validating data@@ and @@check whether the definition of the fields being used makes business sense@@ @@Maintain and further develop ##Data Warehouse## access right and security specifications@@ to meet corporate IT security guidelines @@Support implemented BI solutions@@ by @@monitoring and tuning queries and data loads@@ @@addressing user questions concerning ##data integrity##@@ and @@communicating functional and technical issues@@ @@Troubleshoot performance and concurrency issues@@ ( on-call duty ) YOUR PROFILE Completed ##bachelors or masters study## in the ##technical field## 3+ years of experience as a Data Warehouse developer preferably with ##MS SQL server## Work experience in @@working closely with business stakeholders@@ to @@define problems@@ and @@design large-scale enterprise-class solutions@@ Work experience as a SQL Server DBA is an advantage Advanced ##T-SQL## skills ( ideally on ##SQL Server 2012+## ) @@Experience in implementing complex ##data extraction load & transformation ( ETL )##@@ Knowledge of ##MS SQL Server management## & @@administrative tasks@@ e.g Tuning ##Backup## ##Capacity management## ##Data management## ##SQL Server## Agent jobs Experience @@developing ##OLAP/Cubes## ##Data##@@ MartsGood ##MS Office## skills Experience with ##high-volume data tables## and ##highly concurrent transactions## Strong @@analytical and organisational skills@@ Very good @@communication skills@@ and a passion for ##Data Warehousing## Very good knowledge of ##English## both spoken and written Ability to @@work in a team-oriented collaborative environment@@ Willingness to @@learn and improve skills@@ to @@adapt to newer technologies@@ OUR OFFER Challenging tasks in a successful and innovative company based in a central location in <LOCATION> Opportunities for personal development as part of the company’s sustained growth A welcoming working environment in a committed and international team of employees from more than 30 countries Flexible working hours and numerous benefits such as an in-house canteen regular employee events health care benefits further local employee offers and discounts etc ."""
green  consultant,['manage environmental impact of operations'],"[' sales methodologies', 'legal requirements of  products', 'copyright legislation', 'software components suppliers', ' environmental policies']","Take this sentence from a Job Posting.

""Examples of the technologies we currently use and you’ll be working with include ( but are by no means limited to): Typescript with ##React## for our ##web applications## React-Native for our ##Android and iOS apps## GraphQL Node.js for @@supporting ##backend services##@@ when needed Kubernetes ##Docker## What’s in it for you? <ORGANIZATION> <ORGANIZATION> encourage you to apply even if you’re still developing some of these skills! We value diversity and welcome all applicants regardless of ethnicity religion national origin sexual orientation gender identity age or disability .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage environmental impact of operations@@, and for knowledge: ## sales methodologies##, ##legal requirements of  products##, ##copyright legislation##, ##software components suppliers##, ## environmental policies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Examples of the knowledge we currently use and you’ll be working with include (but are by no means limited to): ##sales methodologies## for our ##web applications##, ##legal requirements of products## for our ##Android and iOS apps##, ##copyright legislation##, ##software components suppliers##, and ##environmental policies##. What’s in it for you? <ORGANIZATION> <ORGANIZATION> encourage you to apply even if you’re still developing some of these skills! We value diversity and welcome all applicants regardless of ethnicity, religion, national origin, sexual orientation, gender identity, age, or disability. You will also be required to @@manage environmental impact of operations@@ when needed.","""Examples of the technologies we currently use and you’ll be working with include ( but are by no means limited to): Typescript with ##React## for our ##web applications## React-Native for our ##Android and iOS apps## GraphQL Node.js for @@supporting ##backend services##@@ when needed Kubernetes ##Docker## What’s in it for you? <ORGANIZATION> <ORGANIZATION> encourage you to apply even if you’re still developing some of these skills! We value diversity and welcome all applicants regardless of ethnicity religion national origin sexual orientation gender identity age or disability ."""
 quality assurance manager,"['attend to  systems quality', 'implement strategic planning']",[],"Take this sentence from a Job Posting.

""@@Solve complex problems@@ related to <ORGANIZATION> IT services and @@build automation to prevent problem recurrence@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@attend to  systems quality@@, @@implement strategic planning@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Attend to systems quality@@ related to <ORGANIZATION> IT services and @@implement strategic planning@@ to prevent problem recurrence.,"""@@Solve complex problems@@ related to <ORGANIZATION> IT services and @@build automation to prevent problem recurrence@@ ."""
 test analyst,[],"['levels of software testing', 'N1QL']","Take this sentence from a Job Posting.

""Experience with ##Internet peering## and ##inter-domain networking## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##levels of software testing##, ##N1QL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##levels of software testing## and ##N1QL##.,"""Experience with ##Internet peering## and ##inter-domain networking## ."""
 network engineer,['implement a firewall'],"['Eclipse (integrated development environment software)', ' performance analysis methods']","Take this sentence from a Job Posting.

""* Experience with @@managing applications@@ on Cloud platforms such as ##PCF## or containers like ##Kubernetes##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement a firewall@@, and for knowledge: ##Eclipse (integrated development environment software)##, ## performance analysis methods##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience with @@implementing a firewall@@ on platforms such as ##Eclipse (integrated development environment software)## or using methods like ##performance analysis methods##,"""* Experience with @@managing applications@@ on Cloud platforms such as ##PCF## or containers like ##Kubernetes##"""
 system tester,"['apply  systems theory', 'replicate customer software issues', 'perform software recovery testing']",[' debugging tools'],"Take this sentence from a Job Posting.

""You will also @@set up and maintain ##CI/CD pipelines##@@ @@develop and extend internal tools@@ to @@streamline and automate workflows@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply  systems theory@@, @@replicate customer software issues@@, @@perform software recovery testing@@, and for knowledge: ## debugging tools##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You will also @@apply systems theory@@, @@replicate customer software issues@@, and @@perform software recovery testing@@ with ##debugging tools##.","""You will also @@set up and maintain ##CI/CD pipelines##@@ @@develop and extend internal tools@@ to @@streamline and automate workflows@@ ."""
 application configurator,"['use concurrent programming', 'use software libraries']",[],"Take this sentence from a Job Posting.

""You are a team player with a @@result-oriented mindset@@ and an @@empathetic@@ person""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use concurrent programming@@, @@use software libraries@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You are a team player with a @@use concurrent programming@@ mindset and an @@use software libraries@@ person,"""You are a team player with a @@result-oriented mindset@@ and an @@empathetic@@ person"""
web developer,[],['STAF'],"Take this sentence from a Job Posting.

""Working in a ##SaaS## company""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##STAF##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Working in a ##STAF## company,"""Working in a ##SaaS## company"""
user interface designer,[],"['World Wide Web Consortium standards', 'human-computer interaction', 'CoffeeScript', 'DevOps']","Take this sentence from a Job Posting.

""Principal DevOps Engineer - <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-07-03 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Lead Role: DevOps Industry: Gambling ##Gaming## ##Information Technology## Company size: 10k+ people Company type: Private Technologies kubernetes ##amazon-web-services## ##python## Job description We’re broadening our horizons – are you? It’s an exciting time to be involved with Technology at <ORGANIZATION> <ORGANIZATION> .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##World Wide Web Consortium standards##, ##human-computer interaction##, ##CoffeeScript##, ##DevOps##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Principal DevOps Engineer - <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-07-03 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Lead Role: DevOps Industry: Gambling ##World Wide Web Consortium standards## ##human-computer interaction## Company size: 10k+ people Company type: Private Technologies ##CoffeeScript## ##DevOps## Job description We’re broadening our horizons – are you? It’s an exciting time to be involved with Technology at <ORGANIZATION> <ORGANIZATION> .,"""Principal DevOps Engineer - <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-07-03 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Lead Role: DevOps Industry: Gambling ##Gaming## ##Information Technology## Company size: 10k+ people Company type: Private Technologies kubernetes ##amazon-web-services## ##python## Job description We’re broadening our horizons – are you? It’s an exciting time to be involved with Technology at <ORGANIZATION> <ORGANIZATION> ."""
knowledge engineer,['use query languages'],[],"Take this sentence from a Job Posting.

""Partnering with other internal IT teams to @@ensure solutions are built deployed and modified as necessary@@ according to the projects needs and timelines""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use query languages@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Partnering with other internal IT teams to @@use query languages@@ according to the projects needs and timelines,"""Partnering with other internal IT teams to @@ensure solutions are built deployed and modified as necessary@@ according to the projects needs and timelines"""
embedded systems software developer,['interpret technical texts'],[],"Take this sentence from a Job Posting.

""@@Voice your opinions@@ and positively influence what we do how we do it and why .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@interpret technical texts@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","@@Interpret technical texts@@ and positively influence what we do, how we do it, and why.","""@@Voice your opinions@@ and positively influence what we do how we do it and why ."""
 system tester,['apply  systems theory'],[],"Take this sentence from a Job Posting.

""and you will @@boost the development of strategic@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@apply  systems theory@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",and you will @@apply systems theory@@ strategically,"""and you will @@boost the development of strategic@@"""
search engine optimisation expert,['conduct search engine optimisation'],[],"Take this sentence from a Job Posting.

""* Ability to @@work in large collaborative teams@@ to achieve organizational goals""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@conduct search engine optimisation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Ability to @@conduct search engine optimisation@@ to achieve organizational goals,"""* Ability to @@work in large collaborative teams@@ to achieve organizational goals"""
 capacity planner,['implement a virtual private network'],[],"Take this sentence from a Job Posting.

""Frontend Software Developer You will be part of an agile cross-functional development team that is working hard to @@develop the best travel product@@ across platforms for our users .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement a virtual private network@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Frontend Software Developer You will be part of an agile cross-functional development team that is working hard to @@implement a virtual private network@@ across platforms for our users.,"""Frontend Software Developer You will be part of an agile cross-functional development team that is working hard to @@develop the best travel product@@ across platforms for our users ."""
 system developer,"['develop with cloud services', 'solve  system problems']","['KDevelop', 'defence standard procedures']","Take this sentence from a Job Posting.

""We are looking to expand our team with a Node.js Developer who is excited to @@solve complex problems@@ and open to @@evolve and grow new skills@@ like ##serverless## and ##machine learning## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop with cloud services@@, @@solve  system problems@@, and for knowledge: ##KDevelop##, ##defence standard procedures##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",We are looking to expand our team with a Node.js Developer who is excited to @@develop with cloud services@@ and open to @@solve system problems@@ like ##KDevelop## and ##defence standard procedures##.,"""We are looking to expand our team with a Node.js Developer who is excited to @@solve complex problems@@ and open to @@evolve and grow new skills@@ like ##serverless## and ##machine learning## ."""
database administrator,"['use spreadsheets software', 'execute  audits']",[],"Take this sentence from a Job Posting.

""Someone who is a @@team-oriented@@ person and ready to @@support@@ wherever necessary - no task is too small or insignificant .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use spreadsheets software@@, @@execute  audits@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Someone who can @@use spreadsheets software@@ and is ready to @@execute audits@@ wherever necessary - no task is too small or insignificant.,"""Someone who is a @@team-oriented@@ person and ready to @@support@@ wherever necessary - no task is too small or insignificant ."""
 auditor manager,[],['organisational resilience'],"Take this sentence from a Job Posting.

""Excellent understanding of ##OO programming techniques and design patterns##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##organisational resilience##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Excellent understanding of ##organisational resilience##,"""Excellent understanding of ##OO programming techniques and design patterns##"""
embedded system designer,['create flowchart diagram'],[],"Take this sentence from a Job Posting.

""You’re @@creating services directly for the end-users@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create flowchart diagram@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You’re @@creating flowchart diagrams directly for the end-users@@.,"""You’re @@creating services directly for the end-users@@ ."""
 auditor manager,['develop information security strategy'],['cyber security'],"Take this sentence from a Job Posting.

""• experience with @@building ##identification and authorization systems .##@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop information security strategy@@, and for knowledge: ##cyber security##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",• experience with @@developing information security strategy@@ and understanding of ##cyber security##.,"""• experience with @@building ##identification and authorization systems .##@@"""
user interface designer,[],"['Waterfall development', 'Agile development']","Take this sentence from a Job Posting.

""* Experience working with the ##public cloud## ( ideally ##AWS )## *""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Waterfall development##, ##Agile development##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience working with the ##Waterfall development## ( ideally ##Agile development## ) *,"""* Experience working with the ##public cloud## ( ideally ##AWS )## *"""
computer scientist,['synthesise research publications'],['business intelligence'],"Take this sentence from a Job Posting.

""This role may require up to 75% domestic or international travel often working directly at client locations Job Description You will be joining an ##Agile## team of like-minded Engineering talent and @@delivering key solutions for the Products and Services@@ that will drive value for our customers end-users .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@synthesise research publications@@, and for knowledge: ##business intelligence##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",This role may require up to 75% domestic or international travel often working directly at client locations Job Description You will be joining a ##business intelligence## team of like-minded Engineering talent and @@synthesising research publications@@ that will drive value for our customers end-users .,"""This role may require up to 75% domestic or international travel often working directly at client locations Job Description You will be joining an ##Agile## team of like-minded Engineering talent and @@delivering key solutions for the Products and Services@@ that will drive value for our customers end-users ."""
