occupation_name,skills,knowledge,prompt,original_sentences,results
 test analyst,[],"['levels of software testing', 'N1QL']","Take this sentence from a Job Posting.

""Experience with ##Internet peering## and ##inter-domain networking## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##levels of software testing##, ##N1QL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Experience with ##Internet peering## and ##inter-domain networking## .""",Experience with ##levels of software testing## and ##N1QL##.
 network engineer,['implement a firewall'],"['Eclipse (integrated development environment software)', ' performance analysis methods']","Take this sentence from a Job Posting.

""* Experience with @@managing applications@@ on Cloud platforms such as ##PCF## or containers like ##Kubernetes##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@implement a firewall@@, and for knowledge: ##Eclipse (integrated development environment software)##, ## performance analysis methods##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""* Experience with @@managing applications@@ on Cloud platforms such as ##PCF## or containers like ##Kubernetes##""",* Experience with @@implementing a firewall@@ on platforms such as ##Eclipse (integrated development environment software)## or using methods like ##performance analysis methods##
 system tester,"['apply  systems theory', 'replicate customer software issues', 'perform software recovery testing']",[' debugging tools'],"Take this sentence from a Job Posting.

""You will also @@set up and maintain ##CI/CD pipelines##@@ @@develop and extend internal tools@@ to @@streamline and automate workflows@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply  systems theory@@, @@replicate customer software issues@@, @@perform software recovery testing@@, and for knowledge: ## debugging tools##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You will also @@set up and maintain ##CI/CD pipelines##@@ @@develop and extend internal tools@@ to @@streamline and automate workflows@@ .""","You will also @@apply systems theory@@, @@replicate customer software issues@@, and @@perform software recovery testing@@ with ##debugging tools##."
 application configurator,"['use concurrent programming', 'use software libraries']",[],"Take this sentence from a Job Posting.

""You are a team player with a @@result-oriented mindset@@ and an @@empathetic@@ person""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use concurrent programming@@, @@use software libraries@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You are a team player with a @@result-oriented mindset@@ and an @@empathetic@@ person""",You are a team player with a @@use concurrent programming@@ mindset and an @@use software libraries@@ person
web developer,[],['STAF'],"Take this sentence from a Job Posting.

""Working in a ##SaaS## company""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##STAF##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Working in a ##SaaS## company""",Working in a ##STAF## company
user interface designer,[],"['World Wide Web Consortium standards', 'human-computer interaction', 'CoffeeScript', 'DevOps']","Take this sentence from a Job Posting.

""Principal DevOps Engineer - <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-07-03 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Lead Role: DevOps Industry: Gambling ##Gaming## ##Information Technology## Company size: 10k+ people Company type: Private Technologies kubernetes ##amazon-web-services## ##python## Job description We’re broadening our horizons – are you? It’s an exciting time to be involved with Technology at <ORGANIZATION> <ORGANIZATION> .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##World Wide Web Consortium standards##, ##human-computer interaction##, ##CoffeeScript##, ##DevOps##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Principal DevOps Engineer - <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-07-03 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Lead Role: DevOps Industry: Gambling ##Gaming## ##Information Technology## Company size: 10k+ people Company type: Private Technologies kubernetes ##amazon-web-services## ##python## Job description We’re broadening our horizons – are you? It’s an exciting time to be involved with Technology at <ORGANIZATION> <ORGANIZATION> .""",Principal DevOps Engineer - <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-07-03 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Experience level: Senior Lead Role: DevOps Industry: Gambling ##World Wide Web Consortium standards## ##human-computer interaction## Company size: 10k+ people Company type: Private Technologies ##CoffeeScript## ##DevOps## Job description We’re broadening our horizons – are you? It’s an exciting time to be involved with Technology at <ORGANIZATION> <ORGANIZATION> .
knowledge engineer,['use query languages'],[],"Take this sentence from a Job Posting.

""Partnering with other internal IT teams to @@ensure solutions are built deployed and modified as necessary@@ according to the projects needs and timelines""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use query languages@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Partnering with other internal IT teams to @@ensure solutions are built deployed and modified as necessary@@ according to the projects needs and timelines""",Partnering with other internal IT teams to @@use query languages@@ according to the projects needs and timelines
embedded systems software developer,['interpret technical texts'],[],"Take this sentence from a Job Posting.

""@@Voice your opinions@@ and positively influence what we do how we do it and why .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@interpret technical texts@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""@@Voice your opinions@@ and positively influence what we do how we do it and why .""","@@Interpret technical texts@@ and positively influence what we do, how we do it, and why."
 system tester,['apply  systems theory'],[],"Take this sentence from a Job Posting.

""and you will @@boost the development of strategic@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@apply  systems theory@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""and you will @@boost the development of strategic@@""",and you will @@apply systems theory@@ strategically
search engine optimisation expert,['conduct search engine optimisation'],[],"Take this sentence from a Job Posting.

""* Ability to @@work in large collaborative teams@@ to achieve organizational goals""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@conduct search engine optimisation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""* Ability to @@work in large collaborative teams@@ to achieve organizational goals""",* Ability to @@conduct search engine optimisation@@ to achieve organizational goals
 capacity planner,['implement a virtual private network'],[],"Take this sentence from a Job Posting.

""Frontend Software Developer You will be part of an agile cross-functional development team that is working hard to @@develop the best travel product@@ across platforms for our users .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@implement a virtual private network@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Frontend Software Developer You will be part of an agile cross-functional development team that is working hard to @@develop the best travel product@@ across platforms for our users .""",Frontend Software Developer You will be part of an agile cross-functional development team that is working hard to @@implement a virtual private network@@ across platforms for our users.
 system developer,"['develop with cloud services', 'solve  system problems']","['KDevelop', 'defence standard procedures']","Take this sentence from a Job Posting.

""We are looking to expand our team with a Node.js Developer who is excited to @@solve complex problems@@ and open to @@evolve and grow new skills@@ like ##serverless## and ##machine learning## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop with cloud services@@, @@solve  system problems@@, and for knowledge: ##KDevelop##, ##defence standard procedures##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are looking to expand our team with a Node.js Developer who is excited to @@solve complex problems@@ and open to @@evolve and grow new skills@@ like ##serverless## and ##machine learning## .""",We are looking to expand our team with a Node.js Developer who is excited to @@develop with cloud services@@ and open to @@solve system problems@@ like ##KDevelop## and ##defence standard procedures##.
database administrator,"['use spreadsheets software', 'execute  audits']",[],"Take this sentence from a Job Posting.

""Someone who is a @@team-oriented@@ person and ready to @@support@@ wherever necessary - no task is too small or insignificant .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use spreadsheets software@@, @@execute  audits@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Someone who is a @@team-oriented@@ person and ready to @@support@@ wherever necessary - no task is too small or insignificant .""",Someone who can @@use spreadsheets software@@ and is ready to @@execute audits@@ wherever necessary - no task is too small or insignificant.
 auditor manager,[],['organisational resilience'],"Take this sentence from a Job Posting.

""Excellent understanding of ##OO programming techniques and design patterns##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##organisational resilience##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Excellent understanding of ##OO programming techniques and design patterns##""",Excellent understanding of ##organisational resilience##
embedded system designer,['create flowchart diagram'],[],"Take this sentence from a Job Posting.

""You’re @@creating services directly for the end-users@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create flowchart diagram@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""You’re @@creating services directly for the end-users@@ .""",You’re @@creating flowchart diagrams directly for the end-users@@.
 auditor manager,['develop information security strategy'],['cyber security'],"Take this sentence from a Job Posting.

""• experience with @@building ##identification and authorization systems .##@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop information security strategy@@, and for knowledge: ##cyber security##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""• experience with @@building ##identification and authorization systems .##@@""",• experience with @@developing information security strategy@@ and understanding of ##cyber security##.
user interface designer,[],"['Waterfall development', 'Agile development']","Take this sentence from a Job Posting.

""* Experience working with the ##public cloud## ( ideally ##AWS )## *""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Waterfall development##, ##Agile development##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""* Experience working with the ##public cloud## ( ideally ##AWS )## *""",* Experience working with the ##Waterfall development## ( ideally ##Agile development## ) *
computer scientist,['synthesise research publications'],['business intelligence'],"Take this sentence from a Job Posting.

""This role may require up to 75% domestic or international travel often working directly at client locations Job Description You will be joining an ##Agile## team of like-minded Engineering talent and @@delivering key solutions for the Products and Services@@ that will drive value for our customers end-users .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@synthesise research publications@@, and for knowledge: ##business intelligence##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""This role may require up to 75% domestic or international travel often working directly at client locations Job Description You will be joining an ##Agile## team of like-minded Engineering talent and @@delivering key solutions for the Products and Services@@ that will drive value for our customers end-users .""",This role may require up to 75% domestic or international travel often working directly at client locations Job Description You will be joining a ##business intelligence## team of like-minded Engineering talent and @@synthesising research publications@@ that will drive value for our customers end-users .
 system developer,[],"['Haskell', 'software anomalies', 'STAF', 'Microsoft Visual C++', 'ML (computer programming)']","Take this sentence from a Job Posting.

""- Participation in all stages of the ##software development## from ##initial analysis## & ##design## to ##implementation## and ##post launch support## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Haskell##, ##software anomalies##, ##STAF##, ##Microsoft Visual C++##, ##ML (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""- Participation in all stages of the ##software development## from ##initial analysis## & ##design## to ##implementation## and ##post launch support## .""",- Participation in all stages of the ##Haskell## development from ##initial software anomalies## & ##STAF## to ##Microsoft Visual C++## and ##post launch support in ML (computer programming)##.
 business analyst,['interact with users to gather requirements'],[],"Take this sentence from a Job Posting.

""@@Authoring functional and technical documentation@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@interact with users to gather requirements@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""@@Authoring functional and technical documentation@@ .""",@@Interact with users to gather requirements@@.
database administrator,['use automatic programming'],[],"Take this sentence from a Job Posting.

""Good @@communication skills@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use automatic programming@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Good @@communication skills@@""",Good @@use automatic programming@@ skills
search engine optimisation expert,[],"['keywords in digital content', 'web analytics', 'social media marketing techniques', 'sales strategies', 'mobile marketing']","Take this sentence from a Job Posting.

""At least 8 years of experience in ##software engineering## on various complex ##Java## ##Spring## ##Spring Boot## and/or ##NodeJs## technologies""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##keywords in digital content##, ##web analytics##, ##social media marketing techniques##, ##sales strategies##, ##mobile marketing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""At least 8 years of experience in ##software engineering## on various complex ##Java## ##Spring## ##Spring Boot## and/or ##NodeJs## technologies""","At least 8 years of experience in ##software engineering## on various complex ##keywords in digital content##, ##web analytics##, ##social media marketing techniques##, ##sales strategies## and/or ##mobile marketing## technologies"
blockchain developer,[],"['blockchain openness', 'Vyper', 'TypeScript']","Take this sentence from a Job Posting.

""##oracle## ##cloud## ##web-services##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##blockchain openness##, ##Vyper##, ##TypeScript##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""##oracle## ##cloud## ##web-services##""",##blockchain openness## ##Vyper## ##TypeScript##
data quality specialist,['use data processing techniques'],[],"Take this sentence from a Job Posting.

""The ability to @@work to in-house standards guidelines and processes@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use data processing techniques@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""The ability to @@work to in-house standards guidelines and processes@@ .""",The ability to @@use data processing techniques@@.
 change and configuration manager,[],"['Codenvy', 'Vagrant', 'tools for software configuration management', 'DevOps', ' process quality models']","Take this sentence from a Job Posting.

""Skills Needed You’ll have a strong hands-on experience in ##devops## and extensive experience with ##AWS## services and ##AWS architecture## and ##private cloud deployments## with ##shared technology services## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Codenvy##, ##Vagrant##, ##tools for software configuration management##, ##DevOps##, ## process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Skills Needed You’ll have a strong hands-on experience in ##devops## and extensive experience with ##AWS## services and ##AWS architecture## and ##private cloud deployments## with ##shared technology services## .""","Skills Needed: You’ll have a strong hands-on experience in ##DevOps## and extensive experience with ##Codenvy## services and ##Vagrant##, and ##tools for software configuration management## with ##process quality models##."
data quality specialist,[],['LDAP'],"Take this sentence from a Job Posting.

""Experience in working in ##Agile development## environments""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##LDAP##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Experience in working in ##Agile development## environments""",Experience in working with ##LDAP## environments
 test analyst,"['develop automated software tests', 'provide software testing documentation']",[],"Take this sentence from a Job Posting.

""@@Coordinate with multidisciplinary teams@@ across operations intel and engineering to @@iteratively improve security controls and detection capabilities@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop automated software tests@@, @@provide software testing documentation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""@@Coordinate with multidisciplinary teams@@ across operations intel and engineering to @@iteratively improve security controls and detection capabilities@@ .""",@@Develop automated software tests@@ with multidisciplinary teams across operations intel and engineering to @@provide software testing documentation@@.
green  consultant,[],"['emergent technologies', 'copyright legislation', 'software components suppliers', ' power consumption']","Take this sentence from a Job Posting.

""Senior Backend Java Engineer ( m/f/x ) <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-03-19 Likes: 0 Dislikes: 0 Love: 0 Job description: Location options: Paid relocation Job type: Full-time Experience level: Mid-Level Senior Lead Role: Backend Developer Industry: ##Enterprise Software## ##SaaS## Company size: 1k–5k people Company type: Private Technologies java ##java-ee## ##spring## Job description At <ORGANIZATION> we are building a leading product that defines the new market category of Execution Management Systems ( EMS) .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##emergent technologies##, ##copyright legislation##, ##software components suppliers##, ## power consumption##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Senior Backend Java Engineer ( m/f/x ) <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-03-19 Likes: 0 Dislikes: 0 Love: 0 Job description: Location options: Paid relocation Job type: Full-time Experience level: Mid-Level Senior Lead Role: Backend Developer Industry: ##Enterprise Software## ##SaaS## Company size: 1k–5k people Company type: Private Technologies java ##java-ee## ##spring## Job description At <ORGANIZATION> we are building a leading product that defines the new market category of Execution Management Systems ( EMS) .""",Senior Backend Java Engineer ( m/f/x ) <ORGANIZATION> <ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-03-19 Likes: 0 Dislikes: 0 Love: 0 Job description: Location options: Paid relocation Job type: Full-time Experience level: Mid-Level Senior Lead Role: Backend Developer Industry: ##emergent technologies## ##copyright legislation## Company size: 1k–5k people Company type: Private Technologies ##software components suppliers## ##power consumption## Job description At <ORGANIZATION> we are building a leading product that defines the new market category of Execution Management Systems ( EMS) .
industrial mobile devices software developer,"['use software libraries', 'analyse software specifications']",[],"Take this sentence from a Job Posting.

""By @@deploying and utilising leading edge technologies@@ you will be @@designing and developing new functionalities@@ for millions of domestic <ORGANIZATION> <ORGANIZATION> as well as <ORGANIZATION> and <ORGANIZATION> users worldwide .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use software libraries@@, @@analyse software specifications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""By @@deploying and utilising leading edge technologies@@ you will be @@designing and developing new functionalities@@ for millions of domestic <ORGANIZATION> <ORGANIZATION> as well as <ORGANIZATION> and <ORGANIZATION> users worldwide .""",By @@using software libraries@@ you will be @@analysing software specifications@@ for millions of domestic <ORGANIZATION> <ORGANIZATION> as well as <ORGANIZATION> and <ORGANIZATION> users worldwide.
user interface designer,[],"['TypeScript', 'CoffeeScript', 'Agile development']","Take this sentence from a Job Posting.

""##reactjs## ##javascript## ##node.js##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##TypeScript##, ##CoffeeScript##, ##Agile development##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""##reactjs## ##javascript## ##node.js##""",##TypeScript## ##CoffeeScript## ##Agile development##
 network administrator,[],"['solution deployment', 'C#', 'Cisco', ' system programming', 'COBOL']","Take this sentence from a Job Posting.

""React ( Native ) Developer <ORGANIZATION> <LOCATION> <ADDRESS> <ADDRESS> <LOCATION> <LOCATION> <LOCATION> Date posted: 2021-04-20 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Industry: Broadcast ##Telecommunications## ##Television## Company size: 10k+ people Technologies ott ##react## ##tdd## ##native## Job description Want to do the best work of your life? Make your mark at <LOCATION> leading entertainment brand .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##solution deployment##, ##C###, ##Cisco##, ## system programming##, ##COBOL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""React ( Native ) Developer <ORGANIZATION> <LOCATION> <ADDRESS> <ADDRESS> <LOCATION> <LOCATION> <LOCATION> Date posted: 2021-04-20 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Industry: Broadcast ##Telecommunications## ##Television## Company size: 10k+ people Technologies ott ##react## ##tdd## ##native## Job description Want to do the best work of your life? Make your mark at <LOCATION> leading entertainment brand .""",React ( Native ) Developer <ORGANIZATION> <LOCATION> <ADDRESS> <ADDRESS> <LOCATION> <LOCATION> <LOCATION> Date posted: 2021-04-20 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Industry: Broadcast ##solution deployment## ##C### ##Cisco## Company size: 10k+ people Technologies ##system programming## ##COBOL## Job description Want to do the best work of your life? Make your mark at <LOCATION> leading entertainment brand.
industrial mobile devices software developer,"['use an application-specific interface', 'use logic programming']",[],"Take this sentence from a Job Posting.

""• @@Communicate final results@@ and @@give context@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use an application-specific interface@@, @@use logic programming@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""• @@Communicate final results@@ and @@give context@@ .""",• @@Use an application-specific interface@@ and @@use logic programming@@.
computer scientist,"['use presentation software', 'apply research ethics and scientific integrity principles in research activities']",[],"Take this sentence from a Job Posting.

""@@Develop threat models for new and updated products@@ as well as @@designing preventative and/or detective controls for specific security issues@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use presentation software@@, @@apply research ethics and scientific integrity principles in research activities@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""@@Develop threat models for new and updated products@@ as well as @@designing preventative and/or detective controls for specific security issues@@ .""",@@Use presentation software@@ for new and updated products as well as @@apply research ethics and scientific integrity principles in research activities@@.
blockchain developer,['provide technical documentation'],[],"Take this sentence from a Job Posting.

""Network Operations will be able to centrally administer <ORGANIZATION> networks and @@automate responses to common operational problems using the network automation API@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide technical documentation@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Network Operations will be able to centrally administer <ORGANIZATION> networks and @@automate responses to common operational problems using the network automation API@@ .""",Network Operations will be able to centrally administer <ORGANIZATION> networks and @@provide technical documentation@@ using the network automation API.
 system analyst,['solve  system problems'],[],"Take this sentence from a Job Posting.

""Working with us gives you access to a very wide range of skills expertise and knowledge and an opportunity to put your energy into @@solving important problems@@ Our IT professionals work hand-in-glove with scientists and engineers to find solutions for healthcare agriculture and the environment by maximising the value of life-science research data .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@solve  system problems@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Working with us gives you access to a very wide range of skills expertise and knowledge and an opportunity to put your energy into @@solving important problems@@ Our IT professionals work hand-in-glove with scientists and engineers to find solutions for healthcare agriculture and the environment by maximising the value of life-science research data .""",Working with us gives you access to a very wide range of skills expertise and knowledge and an opportunity to put your energy into @@solving system problems@@ Our IT professionals work hand-in-glove with scientists and engineers to find solutions for healthcare agriculture and the environment by maximising the value of life-science research data.
