occupation_name,skills,knowledge,prompt,results,original_sentences,original_results,rephrase_prompts
chief security officer,[],['decision support systems'],"Take this sentence from a Job Posting.

""##Full-stack## knowledge""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##decision support systems##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Decision support systems## knowledge,"""##Full-stack## knowledge""",##Decision support systems## knowledge,
network engineer,['analyse software specifications'],"['Objective-C', 'tools for software configuration management', 'Pascal (computer programming)', 'performance analysis methods']","Take this sentence from a Job Posting.

""<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-01-16 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: QA/Test Developer Industry: ##Financial Services## Company size: 10k+ people Company type: Public Technologies qa ##python## ##automation## Job description Candidates will be expected to @@perform both ##Automation and Functional Testing##@@ for our Middle office platform for Futures Options and OTC .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@analyse software specifications@@, and for knowledge: ##Objective-C##, ##tools for software configuration management##, ##Pascal (computer programming)##, ##performance analysis methods##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-01-16 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: QA/Test Developer Industry: ##Objective-C##, ##tools for software configuration management##, ##Pascal (computer programming)##, ##performance analysis methods## Company size: 10k+ people Company type: Public Technologies qa Job description Candidates will be expected to @@analyse software specifications@@ for our Middle office platform for Futures Options and OTC.","""<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-01-16 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: QA/Test Developer Industry: ##Financial Services## Company size: 10k+ people Company type: Public Technologies qa ##python## ##automation## Job description Candidates will be expected to @@perform both ##Automation and Functional Testing##@@ for our Middle office platform for Futures Options and OTC .""","<ADDRESS> <ADDRESS> <LOCATION> - <LOCATION> Date posted: 2021-01-16 Likes: 0 Dislikes: 0 Love: 0 Job description: Job type: Full-time Role: QA/Test Developer Industry: ##Objective-C##, ##tools for software configuration management##, ##Pascal (computer programming)##, ##performance analysis methods## Company size: 10k+ people Company type: Public Technologies qa Job description Candidates will be expected to @@analyse software specifications@@ for our Middle office platform for Futures Options and OTC.",
numerical tool and process control programmer,[],"['Smalltalk (computer programming)', 'C++', 'SAP R3']","Take this sentence from a Job Posting.

""##java## ##java-ee## ##spring##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Smalltalk (computer programming)##, ##C++##, ##SAP R3##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##Smalltalk (computer programming)## ##C++## ##SAP R3##,"""##java## ##java-ee## ##spring##""",##Smalltalk (computer programming)## ##C++## ##SAP R3##,
network engineer,[],"['computer programming', 'iOS']","Take this sentence from a Job Posting.

""Experience working in a ##network operations## role and in-depth ##network troubleshooting## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##computer programming##, ##iOS##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience working in a ##computer programming## role and in-depth ##iOS##.,"""Experience working in a ##network operations## role and in-depth ##network troubleshooting## .""",Experience working in a ##computer programming## role and in-depth ##iOS##.,
resilience manager,[],['organisational resilience'],"Take this sentence from a Job Posting.

""* Experience of ##Function as a Service##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##organisational resilience##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Experience of ##organisational resilience##,"""* Experience of ##Function as a Service##""",* Experience of ##organisational resilience##,
capacity planner,"['forecast workload', 'implement a virtual private network', 'perform project management']",[],"Take this sentence from a Job Posting.

""You will enable your team to @@run experiments@@ and @@improve the user experience at a high velocity@@ by @@building smart and impactful solutions@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@forecast workload@@, @@implement a virtual private network@@, @@perform project management@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will @@forecast workload@@ and @@implement a virtual private network@@ at a high velocity by @@performing project management@@.,"""You will enable your team to @@run experiments@@ and @@improve the user experience at a high velocity@@ by @@building smart and impactful solutions@@ .""",You will @@forecast workload@@ and @@implement a virtual private network@@ at a high velocity by @@performing project management@@.,
embedded systems security engineer,[],['security standards'],"Take this sentence from a Job Posting.

""##Masters Degree in Computer Science## or equivalent""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##security standards##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##security standards## knowledge or equivalent,"""##Masters Degree in Computer Science## or equivalent""",##security standards## knowledge or equivalent,
embedded systems security engineer,[],['software anomalies'],"Take this sentence from a Job Posting.

""* Knowledge of ##industry-wide technology trends and best practices##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##software anomalies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Knowledge of ##software anomalies##,"""* Knowledge of ##industry-wide technology trends and best practices##""",* Knowledge of ##software anomalies##,
industrial mobile devices software developer,[],['VBScript'],"Take this sentence from a Job Posting.

""Familiarity with ##network vendor interactions## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##VBScript##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Familiarity with ##VBScript##.,"""Familiarity with ##network vendor interactions## .""",Familiarity with ##VBScript##.,
system configurator,[],"['Erlang', 'Visual Studio .NET', 'solution deployment', 'Smalltalk (computer programming)', 'OpenEdge Database', 'service-oriented modelling', 'architectural frameworks', 'power consumption']","Take this sentence from a Job Posting.

""products and ##main product roadmaps## ( ##transactional## ##analytics## ##cloud## ##integration## and ##mobile architecture )## Complete understanding on ##SAP Cloud Platform capabilities and services## with special focus on ##SAP Leonardo framework and architecture##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Erlang##, ##Visual Studio .NET##, ##solution deployment##, ##Smalltalk (computer programming)##, ##OpenEdge Database##, ##service-oriented modelling##, ##architectural frameworks##, ##power consumption##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",products and ##Erlang## ( ##Visual Studio .NET## ##solution deployment## ##Smalltalk (computer programming)## ##OpenEdge Database## and ##service-oriented modelling## ) Complete understanding on ##architectural frameworks## with special focus on ##power consumption##,"""products and ##main product roadmaps## ( ##transactional## ##analytics## ##cloud## ##integration## and ##mobile architecture )## Complete understanding on ##SAP Cloud Platform capabilities and services## with special focus on ##SAP Leonardo framework and architecture##""",products and ##Erlang## ( ##Visual Studio .NET## ##solution deployment## ##Smalltalk (computer programming)## ##OpenEdge Database## and ##service-oriented modelling## ) Complete understanding on ##architectural frameworks## with special focus on ##power consumption##,
consultant,"['provide consulting advice', 'identify user needs']",['visual presentation techniques'],"Take this sentence from a Job Posting.

""You'll be required to @@apply your depth of knowledge and expertise@@ to all aspects of the ##software development lifecycle## as well as @@partner continuously with your many stakeholders@@ on a daily basis to stay focused on common goals .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@provide consulting advice@@, @@identify user needs@@, and for knowledge: ##visual presentation techniques##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You'll be required to @@provide consulting advice@@ to all aspects of the ##visual presentation techniques## as well as @@identify user needs@@ on a daily basis to stay focused on common goals.,"""You'll be required to @@apply your depth of knowledge and expertise@@ to all aspects of the ##software development lifecycle## as well as @@partner continuously with your many stakeholders@@ on a daily basis to stay focused on common goals .""",You'll be required to @@provide consulting advice@@ to all aspects of the ##visual presentation techniques## as well as @@identify user needs@@ on a daily basis to stay focused on common goals.,
resilience manager,['perform security testing'],['system backup best practice'],"Take this sentence from a Job Posting.

""Your responsibilities: @@Oversee the transition of the codebase@@ from an external development agency that has developed a successful ( and well documented ) ##MVP## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@perform security testing@@, and for knowledge: ##system backup best practice##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Your responsibilities: @@perform security testing@@ in accordance with the ##system backup best practice##.,"""Your responsibilities: @@Oversee the transition of the codebase@@ from an external development agency that has developed a successful ( and well documented ) ##MVP## .""",Your responsibilities: @@perform security testing@@ in accordance with the ##system backup best practice##.,
IT auditor,"['develop workflow', 'monitor technology trends', 'communicate analytical insights']",[],"Take this sentence from a Job Posting.

""Our customers love our product and your work helps to keep it that way! The chance to @@make a decisive impact@@ and @@shape the future@@ of a dynamic fast growing tech company while @@growing with your tasks and responsibilities@@ A agile team that embodies autonomy and fast decision making within flat hierarchies A personal budget for trainings and learnings A product and company customers love A wide range of education and training opportunities Flexible and family-friendly working conditions An office in one of the most beautiful central districts of <LOCATION> ( currently home office ) Regular events of all sorts in a familiar atmosphere Interested? Then contact us now! You can get insights about working <ORGANIZATION> at: <CONTACT> ! Contact: <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <CONTACT> <CONTACT> <LOCATION> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Please refrain from contacting personnel service providers consultants or other external service providers by telephone! Likewise please refrain from unsolicited profile presentations! Job benefits: Wir haben flexible und familienfreundliche Arbeitszeiten .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop workflow@@, @@monitor technology trends@@, @@communicate analytical insights@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Our customers love our product and your work helps to keep it that way! The chance to @@develop workflow@@ and @@monitor technology trends@@ of a dynamic fast growing tech company while @@communicating analytical insights@@ A agile team that embodies autonomy and fast decision making within flat hierarchies A personal budget for trainings and learnings A product and company customers love A wide range of education and training opportunities Flexible and family-friendly working conditions An office in one of the most beautiful central districts of <LOCATION> ( currently home office ) Regular events of all sorts in a familiar atmosphere Interested? Then contact us now! You can get insights about working <ORGANIZATION> at: <CONTACT> ! Contact: <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <CONTACT> <CONTACT> <LOCATION> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Please refrain from contacting personnel service providers consultants or other external service providers by telephone! Likewise please refrain from unsolicited profile presentations! Job benefits: Wir haben flexible und familienfreundliche Arbeitszeiten .,"""Our customers love our product and your work helps to keep it that way! The chance to @@make a decisive impact@@ and @@shape the future@@ of a dynamic fast growing tech company while @@growing with your tasks and responsibilities@@ A agile team that embodies autonomy and fast decision making within flat hierarchies A personal budget for trainings and learnings A product and company customers love A wide range of education and training opportunities Flexible and family-friendly working conditions An office in one of the most beautiful central districts of <LOCATION> ( currently home office ) Regular events of all sorts in a familiar atmosphere Interested? Then contact us now! You can get insights about working <ORGANIZATION> at: <CONTACT> ! Contact: <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <CONTACT> <CONTACT> <LOCATION> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Please refrain from contacting personnel service providers consultants or other external service providers by telephone! Likewise please refrain from unsolicited profile presentations! Job benefits: Wir haben flexible und familienfreundliche Arbeitszeiten .""",Our customers love our product and your work helps to keep it that way! The chance to @@develop workflow@@ and @@monitor technology trends@@ of a dynamic fast growing tech company while @@communicating analytical insights@@ A agile team that embodies autonomy and fast decision making within flat hierarchies A personal budget for trainings and learnings A product and company customers love A wide range of education and training opportunities Flexible and family-friendly working conditions An office in one of the most beautiful central districts of <LOCATION> ( currently home office ) Regular events of all sorts in a familiar atmosphere Interested? Then contact us now! You can get insights about working <ORGANIZATION> at: <CONTACT> ! Contact: <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <CONTACT> <CONTACT> <LOCATION> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> <CONTACT> Please refrain from contacting personnel service providers consultants or other external service providers by telephone! Likewise please refrain from unsolicited profile presentations! Job benefits: Wir haben flexible und familienfreundliche Arbeitszeiten .,
security engineer,"['manage change request process', 'perform risk analysis', 'troubleshoot', 'develop information security strategy', 'define security policies', 'manage disaster recovery plans', 'execute audits', 'remove computer virus or malware from a computer', 'safeguard online privacy and identity', 'implement a virtual private network', 'give live presentation', 'define technical requirements', 'identify system weaknesses', 'lead disaster recovery exercises', 'verify formal specifications']","['information security strategy', 'business intelligence', 'defence standard procedures', 'information architecture', 'cloud security and compliance', 'embedded systems', 'security standards', 'emergent technologies', 'attack vectors', 'internet governance', 'cyber attack counter-measures', 'business analysis', 'risk management', 'project management', 'organisational resilience', 'cyber security', 'cloud monitoring and reporting', 'web application security threats', 'C++', 'unstructured data', 'Python (computer programming)', 'encryption', 'leadership principles', 'Process-based management', 'Lean project management', 'copyright legislation', 'Internet of Things', 'operating systems', 'process quality models']","Take this sentence from a Job Posting.

""@@Transforming functional requirements into fit to purpose ##UX## approaches@@ @@Improving and enhancing existing software@@ as well as @@creating entirely new features for the platform -@@ We are a great match if you have/are - 5+ years of ##software development## experience A solid foundation in ##computer science## with varied experience Excellent @@coding@@ skills in ##React## Knowledge of ##REST## ##JSON## ##HTTP## Comfortable with ##UNIX systems## for @@tracing ##Backend## issues@@ Strong @@analytic and problem-solving skills An@@ ability to @@dive into complex problems@@ with a @@can-do attitude A@@ @@self-starter@@ with ability to @@work collaboratively in a distributed development team -@@ And we really want to meet you if you also have/are - Experience @@architecturing ##web applications##@@ Experience with ##HTML5## ##Groovy## ##Prism ( DI )## Typescript ##JavaScript## ##. NET## & ##Java## are strong plus Previous experience or strong interest in ##NLU## ##NLI## or ##machine learning## Experience in any of the following: ##Elastic Search## ##Cassandra## ##JCR## ##Spark## ##MLeap## ##Kafka## ##Logstash## ##MariaDB## ##WPF## @@Eager to learn@@ and ability to @@pick up new technologies and frameworks fast@@ - Let’s not forget about @@language skills@@ - Excellent ##English## both written and spoken Any additional languages are a plus - Take a look to the Perks & Benefits of working with us! - International environment with 30+ different nationalities working in a collaborative way Hybrid work from home setup Central office ( . . . and we are getting bigger! ) Fresh fruits cookies coffee & drinks Team activities & events like Beachvolley International Lunch etc 23 days of paid holidays plus extra days as personal choice Flexible working time you decide when start your day Health insurance for you and your family 100% paid by the company Flexible retribution Plan to enjoy ticket restaurants ticket transport and childcare vouchers! Training & Spanish classes Job benefits: Hybrid working home/office model Flexible working time Fresh fruits cookies coffee & drinks Team activities & events Central Offices Health insurance or pension ( depending on the country ) Vouchers ( restaurant transport gym childcare -depending on country ) Training International environment Company description: We are a <LOCATION> software company specialized in Conversational Artificial Intelligence technology In few words since more than 20 years we make technology think! We have employees in different countries within <LOCATION> & <LOCATION> we are a small company with an agile & global dna! We built our own awards-winning platform Teneo that covers the entire lifecycle of Conversational AI development from inception through publication data analysis and system supported proactive improvement A variety of technologies go into this mostly Java based including Elastic Search Cassandra JCR Spark MLeap Kafka all brought together to form a market leading patented AI development environment exposed through a . NET desktop IDE with admin web interfaces If you @@feel technology running through your veins@@ just apply!$""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage change request process@@, @@perform risk analysis@@, @@troubleshoot@@, @@develop information security strategy@@, @@define security policies@@, @@manage disaster recovery plans@@, @@execute audits@@, @@remove computer virus or malware from a computer@@, @@safeguard online privacy and identity@@, @@implement a virtual private network@@, @@give live presentation@@, @@define technical requirements@@, @@identify system weaknesses@@, @@lead disaster recovery exercises@@, @@verify formal specifications@@, and for knowledge: ##information security strategy##, ##business intelligence##, ##defence standard procedures##, ##information architecture##, ##cloud security and compliance##, ##embedded systems##, ##security standards##, ##emergent technologies##, ##attack vectors##, ##internet governance##, ##cyber attack counter-measures##, ##business analysis##, ##risk management##, ##project management##, ##organisational resilience##, ##cyber security##, ##cloud monitoring and reporting##, ##web application security threats##, ##C++##, ##unstructured data##, ##Python (computer programming)##, ##encryption##, ##leadership principles##, ##Process-based management##, ##Lean project management##, ##copyright legislation##, ##Internet of Things##, ##operating systems##, ##process quality models##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","@@Managing change request process@@ and transforming functional requirements into fit to purpose @@defining security policies@@ approaches @@Performing risk analysis@@ and enhancing existing software as well as @@developing information security strategy@@ for the platform - We are a great match if you have/are - 5+ years of ##information security strategy## experience A solid foundation in ##business intelligence## with varied experience Excellent @@troubleshooting@@ skills in ##defence standard procedures## Knowledge of ##information architecture##, ##cloud security and compliance##, ##embedded systems## Comfortable with ##security standards## for @@identifying system weaknesses@@ Strong @@risk management skills@@ An ability to @@lead disaster recovery exercises@@ with a @@can-do attitude@@ A @@self-starter@@ with ability to @@execute audits@@ in a distributed development team - And we really want to meet you if you also have/are - Experience @@removing computer virus or malware from a computer@@ Experience with ##emergent technologies##, ##attack vectors##, ##internet governance##, ##cyber attack counter-measures##, ##business analysis##, ##Python (computer programming)##, ##C++## are strong plus Previous experience or strong interest in ##organisational resilience##, ##cyber security##, ##cloud monitoring and reporting##, ##web application security threats## Experience in any of the following: ##unstructured data##, ##encryption##, ##leadership principles##, ##Process-based management##, ##Lean project management##, ##copyright legislation##, ##Internet of Things##, ##operating systems##, ##process quality models## @@Eager to learn@@ and ability to @@safeguard online privacy and identity@@ fast - Let’s not forget about @@language skills@@ - Excellent ##English## both written and spoken Any additional languages are a plus - Take a look to the Perks & Benefits of working with us! - International environment with 30+ different nationalities working in a collaborative way Hybrid work from home setup Central office ( . . . and we are getting bigger! ) Fresh fruits cookies coffee & drinks Team activities & events like Beachvolley International Lunch etc 23 days of paid holidays plus extra days as personal choice Flexible working time you decide when start your day Health insurance for you and your family 100% paid by the company Flexible retribution Plan to enjoy ticket restaurants ticket transport and childcare vouchers! Training & Spanish classes Job benefits: Hybrid working home/office model Flexible working time Fresh fruits cookies coffee & drinks Team activities & events Central Offices Health insurance or pension ( depending on the country ) Vouchers ( restaurant transport gym childcare -depending on country ) Training International environment Company description: We are a <LOCATION> software company specialized in Conversational Artificial Intelligence technology In few words since more than 20 years we make technology think! We have employees in different countries within <LOCATION> & <LOCATION> we are a small company with an agile & global dna! We built our own awards-winning platform Teneo that covers the entire lifecycle of Conversational AI development from inception through publication data analysis and system supported proactive improvement A variety of technologies go into this mostly Java based including Elastic Search Cassandra JCR Spark MLeap Kafka all brought together to form a market leading patented AI development environment exposed through a . NET desktop IDE with admin web interfaces If you @@feel technology running through your veins@@ just apply!$","""@@Transforming functional requirements into fit to purpose ##UX## approaches@@ @@Improving and enhancing existing software@@ as well as @@creating entirely new features for the platform -@@ We are a great match if you have/are - 5+ years of ##software development## experience A solid foundation in ##computer science## with varied experience Excellent @@coding@@ skills in ##React## Knowledge of ##REST## ##JSON## ##HTTP## Comfortable with ##UNIX systems## for @@tracing ##Backend## issues@@ Strong @@analytic and problem-solving skills An@@ ability to @@dive into complex problems@@ with a @@can-do attitude A@@ @@self-starter@@ with ability to @@work collaboratively in a distributed development team -@@ And we really want to meet you if you also have/are - Experience @@architecturing ##web applications##@@ Experience with ##HTML5## ##Groovy## ##Prism ( DI )## Typescript ##JavaScript## ##. NET## & ##Java## are strong plus Previous experience or strong interest in ##NLU## ##NLI## or ##machine learning## Experience in any of the following: ##Elastic Search## ##Cassandra## ##JCR## ##Spark## ##MLeap## ##Kafka## ##Logstash## ##MariaDB## ##WPF## @@Eager to learn@@ and ability to @@pick up new technologies and frameworks fast@@ - Let’s not forget about @@language skills@@ - Excellent ##English## both written and spoken Any additional languages are a plus - Take a look to the Perks & Benefits of working with us! - International environment with 30+ different nationalities working in a collaborative way Hybrid work from home setup Central office ( . . . and we are getting bigger! ) Fresh fruits cookies coffee & drinks Team activities & events like Beachvolley International Lunch etc 23 days of paid holidays plus extra days as personal choice Flexible working time you decide when start your day Health insurance for you and your family 100% paid by the company Flexible retribution Plan to enjoy ticket restaurants ticket transport and childcare vouchers! Training & Spanish classes Job benefits: Hybrid working home/office model Flexible working time Fresh fruits cookies coffee & drinks Team activities & events Central Offices Health insurance or pension ( depending on the country ) Vouchers ( restaurant transport gym childcare -depending on country ) Training International environment Company description: We are a <LOCATION> software company specialized in Conversational Artificial Intelligence technology In few words since more than 20 years we make technology think! We have employees in different countries within <LOCATION> & <LOCATION> we are a small company with an agile & global dna! We built our own awards-winning platform Teneo that covers the entire lifecycle of Conversational AI development from inception through publication data analysis and system supported proactive improvement A variety of technologies go into this mostly Java based including Elastic Search Cassandra JCR Spark MLeap Kafka all brought together to form a market leading patented AI development environment exposed through a . NET desktop IDE with admin web interfaces If you @@feel technology running through your veins@@ just apply!$""","@@Managing change request process@@ and transforming functional requirements into fit to purpose @@defining security policies@@ approaches @@Performing risk analysis@@ and enhancing existing software as well as @@developing information security strategy@@ for the platform - We are a great match if you have/are - 5+ years of ##information security strategy## experience A solid foundation in ##business intelligence## with varied experience Excellent @@troubleshooting@@ skills in ##defence standard procedures## Knowledge of ##information architecture##, ##cloud security and compliance##, ##embedded systems## Comfortable with ##security standards## for @@identifying system weaknesses@@ Strong @@risk management skills@@ An ability to @@lead disaster recovery exercises@@ with a @@can-do attitude@@ A @@self-starter@@ with ability to @@execute audits@@ in a distributed development team - And we really want to meet you if you also have/are - Experience @@removing computer virus or malware from a computer@@ Experience with ##emergent technologies##, ##attack vectors##, ##internet governance##, ##cyber attack counter-measures##, ##business analysis##, ##Python (computer programming)##, ##C++## are strong plus Previous experience or strong interest in ##organisational resilience##, ##cyber security##, ##cloud monitoring and reporting##, ##web application security threats## Experience in any of the following: ##unstructured data##, ##encryption##, ##leadership principles##, ##Process-based management##, ##Lean project management##, ##copyright legislation##, ##Internet of Things##, ##operating systems##, ##process quality models## @@Eager to learn@@ and ability to @@safeguard online privacy and identity@@ fast - Let’s not forget about @@language skills@@ - Excellent ##English## both written and spoken Any additional languages are a plus - Take a look to the Perks & Benefits of working with us! - International environment with 30+ different nationalities working in a collaborative way Hybrid work from home setup Central office ( . . . and we are getting bigger! ) Fresh fruits cookies coffee & drinks Team activities & events like Beachvolley International Lunch etc 23 days of paid holidays plus extra days as personal choice Flexible working time you decide when start your day Health insurance for you and your family 100% paid by the company Flexible retribution Plan to enjoy ticket restaurants ticket transport and childcare vouchers! Training & Spanish classes Job benefits: Hybrid working home/office model Flexible working time Fresh fruits cookies coffee & drinks Team activities & events Central Offices Health insurance or pension ( depending on the country ) Vouchers ( restaurant transport gym childcare -depending on country ) Training International environment Company description: We are a <LOCATION> software company specialized in Conversational Artificial Intelligence technology In few words since more than 20 years we make technology think! We have employees in different countries within <LOCATION> & <LOCATION> we are a small company with an agile & global dna! We built our own awards-winning platform Teneo that covers the entire lifecycle of Conversational AI development from inception through publication data analysis and system supported proactive improvement A variety of technologies go into this mostly Java based including Elastic Search Cassandra JCR Spark MLeap Kafka all brought together to form a market leading patented AI development environment exposed through a . NET desktop IDE with admin web interfaces If you @@feel technology running through your veins@@ just apply!$",
embedded systems security engineer,['execute software tests'],"['information security strategy', 'computer programming', 'network security risks', 'software anomalies', 'organisational resilience']","Take this sentence from a Job Posting.

""Examples of the technologies we currently use and you’ll be working with include ( but are by no means limited to): Typescript with ##React## for our ##web applications## React-Native for our ##Android and iOS apps## GraphQL Node.js for @@supporting ##backend services##@@ when needed Kubernetes ##Docker## What’s in it for you? <ORGANIZATION> <ORGANIZATION> encourage you to apply even if you’re still developing some of these skills! We value diversity and welcome all applicants regardless of ethnicity religion national origin sexual orientation gender identity age or disability .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@execute software tests@@, and for knowledge: ##information security strategy##, ##computer programming##, ##network security risks##, ##software anomalies##, ##organisational resilience##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Examples of the knowledge we currently use and you’ll be working with include (but are by no means limited to): ##information security strategy## for our ##computer programming##, ##network security risks## for our ##software anomalies##, and ##organisational resilience##. What’s in it for you? <ORGANIZATION> <ORGANIZATION> encourage you to apply even if you’re still developing some of these skills! We value diversity and welcome all applicants regardless of ethnicity, religion, national origin, sexual orientation, gender identity, age, or disability. You will also be expected to @@execute software tests@@ when needed.","""Examples of the technologies we currently use and you’ll be working with include ( but are by no means limited to): Typescript with ##React## for our ##web applications## React-Native for our ##Android and iOS apps## GraphQL Node.js for @@supporting ##backend services##@@ when needed Kubernetes ##Docker## What’s in it for you? <ORGANIZATION> <ORGANIZATION> encourage you to apply even if you’re still developing some of these skills! We value diversity and welcome all applicants regardless of ethnicity religion national origin sexual orientation gender identity age or disability .""","Examples of the knowledge we currently use and you’ll be working with include (but are by no means limited to): ##information security strategy## for our ##computer programming##, ##network security risks## for our ##software anomalies##, and ##organisational resilience##. What’s in it for you? <ORGANIZATION> <ORGANIZATION> encourage you to apply even if you’re still developing some of these skills! We value diversity and welcome all applicants regardless of ethnicity, religion, national origin, sexual orientation, gender identity, age, or disability. You will also be expected to @@execute software tests@@ when needed.",
disaster recovery analyst,"['manage disaster recovery plans', 'develop strategy to solve problems']",[],"Take this sentence from a Job Posting.

""@@Solve complex problems@@ related to <ORGANIZATION> IT services and @@build automation to prevent problem recurrence@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage disaster recovery plans@@, @@develop strategy to solve problems@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Manage disaster recovery plans@@ related to <ORGANIZATION> IT services and @@develop strategy to solve problems@@ to prevent problem recurrence.,"""@@Solve complex problems@@ related to <ORGANIZATION> IT services and @@build automation to prevent problem recurrence@@ .""",@@Manage disaster recovery plans@@ related to <ORGANIZATION> IT services and @@develop strategy to solve problems@@ to prevent problem recurrence.,
system developer,[],"['software anomalies', 'tools for software configuration management']","Take this sentence from a Job Posting.

""Experience with ##Internet peering## and ##inter-domain networking## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##software anomalies##, ##tools for software configuration management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience with ##software anomalies## and ##tools for software configuration management##.,"""Experience with ##Internet peering## and ##inter-domain networking## .""",Experience with ##software anomalies## and ##tools for software configuration management##.,
