occupation_name,skills,knowledge,prompt,results,original_sentences,original_results,rephrase_prompts
higher education lecturer,"['manage research data', 'supervise educational staff', 'disseminate results to the scientific community', 'establish collaborative relations', 'manage findable accessible interoperable and reusable data', 'discuss research proposals']","['funding methods', 'learning difficulties', 'university procedures']","Take this sentence from a Job Posting.

""What are my responsibilities? @@Govern service products@@ through ##complete lifecycle## via ##R&D## Budget @@Manage a global team@@ with the responsibility of our product strategy vision and roadmap for products within the service program portfolio @@Develop and manage product portfolio@@ by @@evaluating gaps and opportunities@@ @@minimizing business risks@@ @@approving new product and technology development@@ through ##R&D budget allocation## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@manage research data@@, @@supervise educational staff@@, @@disseminate results to the scientific community@@, @@establish collaborative relations@@, @@manage findable accessible interoperable and reusable data@@, @@discuss research proposals@@, and for knowledge: ##funding methods##, ##learning difficulties##, ##university procedures##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",What are my responsibilities? @@Manage research data@@ through ##funding methods## via ##learning difficulties## Budget @@Supervise educational staff@@ with the responsibility of our research strategy vision and roadmap for projects within the research program portfolio @@Disseminate results to the scientific community@@ by @@establishing collaborative relations@@ @@managing findable accessible interoperable and reusable data@@ @@discussing research proposals@@ through ##university procedures##.,"""What are my responsibilities? @@Govern service products@@ through ##complete lifecycle## via ##R&D## Budget @@Manage a global team@@ with the responsibility of our product strategy vision and roadmap for products within the service program portfolio @@Develop and manage product portfolio@@ by @@evaluating gaps and opportunities@@ @@minimizing business risks@@ @@approving new product and technology development@@ through ##R&D budget allocation## .""",What are my responsibilities? @@Manage research data@@ through ##funding methods## via ##learning difficulties## Budget @@Supervise educational staff@@ with the responsibility of our research strategy vision and roadmap for projects within the research program portfolio @@Disseminate results to the scientific community@@ by @@establishing collaborative relations@@ @@managing findable accessible interoperable and reusable data@@ @@discussing research proposals@@ through ##university procedures##.,
roadside vehicle technician,[],"['types of vehicles', 'types of vehicle engines']","Take this sentence from a Job Posting.

"" Have a general knowledge of the ##geography of <LOCATION>## and possess knowledge in ##GPS unit## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##types of vehicles##, ##types of vehicle engines##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Have a general knowledge of the ##types of vehicles## and possess knowledge in ##types of vehicle engines##.,""" Have a general knowledge of the ##geography of <LOCATION>## and possess knowledge in ##GPS unit## .""",Have a general knowledge of the ##types of vehicles## and possess knowledge in ##types of vehicle engines##.,
sorter labourer,"['handle chemical cleaning agents', 'remove contaminants']",[],"Take this sentence from a Job Posting.

""@@Assess clients infrastructure for security weaknesses@@ and @@proactively recommend on improvements@@ according to the clients risk profile .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@handle chemical cleaning agents@@, @@remove contaminants@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Handle chemical cleaning agents@@ and @@proactively remove contaminants@@ according to the client's risk profile.,"""@@Assess clients infrastructure for security weaknesses@@ and @@proactively recommend on improvements@@ according to the clients risk profile .""",@@Handle chemical cleaning agents@@ and @@proactively remove contaminants@@ according to the client's risk profile.,
software manager,"['give live presentation', 'analyse software specifications', 'negotiate buying conditions']",[],"Take this sentence from a Job Posting.

""Personal qualifications You are an @@analytical@@ and @@theoretical@@ @@solid@@ Mechanical engineer .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@give live presentation@@, @@analyse software specifications@@, @@negotiate buying conditions@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Personal qualifications: You are an @@give live presentation@@, @@analyse software specifications@@, and @@negotiate buying conditions@@ Mechanical engineer.","""Personal qualifications You are an @@analytical@@ and @@theoretical@@ @@solid@@ Mechanical engineer .""","Personal qualifications: You are an @@give live presentation@@, @@analyse software specifications@@, and @@negotiate buying conditions@@ Mechanical engineer.",
subtitler,[],['transcription methods'],"Take this sentence from a Job Posting.

""Information on the Department can be found at: <CONTACT> Job description In considering applications for the professorship the main emphasis will be on the applicant's ability to document a high level of original scientific work at an international level within the area of ##Neurosurgery## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##transcription methods##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Information on the Department can be found at: <CONTACT> Job description In considering applications for the professorship the main emphasis will be on the applicant's ability to document a high level of original scientific work at an international level within the area of ##transcription methods##.,"""Information on the Department can be found at: <CONTACT> Job description In considering applications for the professorship the main emphasis will be on the applicant's ability to document a high level of original scientific work at an international level within the area of ##Neurosurgery## .""",Information on the Department can be found at: <CONTACT> Job description In considering applications for the professorship the main emphasis will be on the applicant's ability to document a high level of original scientific work at an international level within the area of ##transcription methods##.,
respiratory therapy technician,"['operate breathing equipment', 'interpret medical images']",[],"Take this sentence from a Job Posting.

""As you will not have any daily recurring tasks you must be @@self-driven@@ and able to @@manage and deliver on your projects independently@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@operate breathing equipment@@, @@interpret medical images@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As you will not have any daily recurring tasks you must be able to @@operate breathing equipment@@ and @@interpret medical images@@ independently.,"""As you will not have any daily recurring tasks you must be @@self-driven@@ and able to @@manage and deliver on your projects independently@@ .""",As you will not have any daily recurring tasks you must be able to @@operate breathing equipment@@ and @@interpret medical images@@ independently.,
financial planner,['interpret financial statements'],['financial jurisdiction'],"Take this sentence from a Job Posting.

""As a person you are passionate about @@solving the needs of the users and the business through ##digitalization .##@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@interpret financial statements@@, and for knowledge: ##financial jurisdiction##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a person you are passionate about @@interpreting financial statements@@ and the business through ##financial jurisdiction##.,"""As a person you are passionate about @@solving the needs of the users and the business through ##digitalization .##@@""",As a person you are passionate about @@interpreting financial statements@@ and the business through ##financial jurisdiction##.,
equine yard manager,[],['safe horseback riding principles'],"Take this sentence from a Job Posting.

""Qualifications A relevant ##master degree ( MSc )## or exam at similar level ( if the MSc exam has not yet been obtained the estimated date for the final exam should be stated) .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##safe horseback riding principles##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Qualifications A relevant ##safe horseback riding principles## or exam at similar level ( if the principles have not yet been obtained the estimated date for the final exam should be stated) .,"""Qualifications A relevant ##master degree ( MSc )## or exam at similar level ( if the MSc exam has not yet been obtained the estimated date for the final exam should be stated) .""",Qualifications A relevant ##safe horseback riding principles## or exam at similar level ( if the principles have not yet been obtained the estimated date for the final exam should be stated) .,
visual arts teacher,"[""observe student's progress""]",['assessment processes'],"Take this sentence from a Job Posting.

""Are you able to @@operate drive and develop highly potential markets@@ for one of the fastest growing design trading-houses in the ##furniture industry?## Then you might be the Sales Manager we are looking for! <ORGANIZATION> <ORGANIZATION> offers you a challenging possibility to develop the global market position of our company supported by a unique product line with great growth potential .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@observe student's progress@@, and for knowledge: ##assessment processes##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""Are you skilled in @@observing student's progress@@? Do you have a deep understanding of ##assessment processes##? If so, you might be the perfect fit for our Sales Manager position at one of the fastest growing design trading-houses. At <ORGANIZATION> <ORGANIZATION>, we offer a challenging opportunity to leverage your skills and knowledge to help us develop our global market position. With our unique product line and immense growth potential, we're excited about what we can achieve together.""","""Are you able to @@operate drive and develop highly potential markets@@ for one of the fastest growing design trading-houses in the ##furniture industry?## Then you might be the Sales Manager we are looking for! <ORGANIZATION> <ORGANIZATION> offers you a challenging possibility to develop the global market position of our company supported by a unique product line with great growth potential .""",Are you able to @@observe student's progress@@ for one of the fastest growing design trading-houses in the ##assessment processes?## Then you might be the Sales Manager we are looking for! <ORGANIZATION> <ORGANIZATION> offers you a challenging possibility to develop the global market position of our company supported by a unique product line with great growth potential.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Are you able to @@observe student's progress@@ for one of the fastest growing design trading-houses in the ##assessment processes?## Then you might be the Sales Manager we are looking for! <ORGANIZATION> <ORGANIZATION> offers you a challenging possibility to develop the global market position of our company supported by a unique product line with great growth potential.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
mouldmaker,['attend to detail in casting processes'],['non-ferrous metal processing'],"Take this sentence from a Job Posting.

""You have extensive experience in @@leading global projects@@ from an international consultancy firm a major international company or a major IT vendor and topped with significant experience of ##global project roll outs## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@attend to detail in casting processes@@, and for knowledge: ##non-ferrous metal processing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You have extensive experience in @@attend to detail in casting processes@@ from an international consultancy firm a major international company or a major IT vendor and topped with significant experience of ##non-ferrous metal processing##.,"""You have extensive experience in @@leading global projects@@ from an international consultancy firm a major international company or a major IT vendor and topped with significant experience of ##global project roll outs## .""",You have extensive experience in @@attend to detail in casting processes@@ from an international consultancy firm a major international company or a major IT vendor and topped with significant experience of ##non-ferrous metal processing##.,
plastic heat treatment equipment operator,"['solve technical problems', 'troubleshoot', 'mix moulding and casting material', 'operate lifting equipment']",[],"Take this sentence from a Job Posting.

""Your excellent @@communication@@ and @@collaboration@@ skills allow you to @@work with customers partners and the business@@ @@making clear your ideas and recommendations@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@solve technical problems@@, @@troubleshoot@@, @@mix moulding and casting material@@, @@operate lifting equipment@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Your ability to @@solve technical problems@@ and @@troubleshoot@@ allows you to @@mix moulding and casting material@@ and @@operate lifting equipment@@, making clear your ideas and recommendations.","""Your excellent @@communication@@ and @@collaboration@@ skills allow you to @@work with customers partners and the business@@ @@making clear your ideas and recommendations@@ .""","Your ability to @@solve technical problems@@ and @@troubleshoot@@ allows you to @@mix moulding and casting material@@ and @@operate lifting equipment@@, making clear your ideas and recommendations.",
visual merchandiser,['coach team on visual merchandising'],"['trends in fashion', 'merchandising techniques']","Take this sentence from a Job Posting.

""The position offers considerable opportunity to develop your @@project manager skillset@@ expanding on ##stakeholder management## and getting a broad holistic understanding of the ##Global Finance## organisation .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@coach team on visual merchandising@@, and for knowledge: ##trends in fashion##, ##merchandising techniques##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","The position offers considerable opportunity to develop your @@coach team on visual merchandising@@ skillset, expanding on ##trends in fashion## and getting a broad holistic understanding of the ##merchandising techniques##.","""The position offers considerable opportunity to develop your @@project manager skillset@@ expanding on ##stakeholder management## and getting a broad holistic understanding of the ##Global Finance## organisation .""","The position offers considerable opportunity to develop your @@coach team on visual merchandising@@ skillset, expanding on ##trends in fashion## and getting a broad holistic understanding of the ##merchandising techniques##.",
street artist,"['collaborate with technical experts on artworks', 'discuss artwork', 'contextualise artistic work']",[],"Take this sentence from a Job Posting.

""@@Supporting the local finance organisation@@ to @@close month end@@ and @@prepare materials for the monthly performance review@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@collaborate with technical experts on artworks@@, @@discuss artwork@@, @@contextualise artistic work@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Collaborate with technical experts on artworks@@ to @@discuss artwork@@ and @@contextualise artistic work@@.,"""@@Supporting the local finance organisation@@ to @@close month end@@ and @@prepare materials for the monthly performance review@@ .""",@@Collaborate with technical experts on artworks@@ to @@discuss artwork@@ and @@contextualise artistic work@@.,
twisting machine operator,"['perform sample testing', 'manufacture texturised filament yarns', 'tend twisting machines']",['types of textile fibres'],"Take this sentence from a Job Posting.

""@@Ensure that Securitys capabilities are provided maximum opportunity@@ to @@support account expansion goals@@ including @@assisting in opportunity identification;@@ ##strategy and service offering development## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@perform sample testing@@, @@manufacture texturised filament yarns@@, @@tend twisting machines@@, and for knowledge: ##types of textile fibres##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","@@Perform sample testing@@ to @@manufacture texturised filament yarns@@ and @@tend twisting machines@@, providing maximum opportunity to support account expansion goals including assisting in opportunity identification; ##types of textile fibres## strategy and service offering development.","""@@Ensure that Securitys capabilities are provided maximum opportunity@@ to @@support account expansion goals@@ including @@assisting in opportunity identification;@@ ##strategy and service offering development## .""","@@Perform sample testing@@ to @@manufacture texturised filament yarns@@ and @@tend twisting machines@@, providing maximum opportunity to support account expansion goals including assisting in opportunity identification; ##types of textile fibres## strategy and service offering development.",
shunter,['shunt inbound loads'],[],"Take this sentence from a Job Posting.

""Reporting directly to the Head of Sales your job will be to @@strengthen sales@@ in the <LOCATION> and the <LOCATION> countries directly through strategic key accounts and indirectly through sales agents in accordance to our market strategy .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@shunt inbound loads@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""As a direct report to the Head of Sales, your primary responsibility will be to @@shunt inbound loads@@. This will involve directly managing strategic key accounts in the <LOCATION> and other <LOCATION> countries, as well as indirectly overseeing sales agents, all in line with our market strategy.""","""Reporting directly to the Head of Sales your job will be to @@strengthen sales@@ in the <LOCATION> and the <LOCATION> countries directly through strategic key accounts and indirectly through sales agents in accordance to our market strategy .""",Reporting directly to the Head of Sales your job will be to @@shunt inbound loads@@ in the <LOCATION> and the <LOCATION> countries directly through strategic key accounts and indirectly through sales agents in accordance to our market strategy.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""Reporting directly to the Head of Sales your job will be to @@shunt inbound loads@@ in the <LOCATION> and the <LOCATION> countries directly through strategic key accounts and indirectly through sales agents in accordance to our market strategy.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
lieutenant,"['manage administrative systems', 'train military troops', 'write situation reports']",[],"Take this sentence from a Job Posting.

""Your personal qualities define you as @@robust@@ and a great @@collaborator@@ who always has a @@positive attitude@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage administrative systems@@, @@train military troops@@, @@write situation reports@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Your personal qualities define you as someone who can @@manage administrative systems@@, a great @@train military troops@@, who always has the ability to @@write situation reports@@.","""Your personal qualities define you as @@robust@@ and a great @@collaborator@@ who always has a @@positive attitude@@ .""","Your personal qualities define you as someone who can @@manage administrative systems@@, a great @@train military troops@@, who always has the ability to @@write situation reports@@.",
security manager,"['liaise with government officials', 'ensure equipment maintenance']",[],"Take this sentence from a Job Posting.

""You are @@self-motivated@@ and @@thrive in a dynamic and fast-paced environment@@ that continually pushes for excellence .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@liaise with government officials@@, @@ensure equipment maintenance@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You are @@liaise with government officials@@ and @@ensure equipment maintenance@@ in a dynamic and fast-paced environment that continually pushes for excellence.,"""You are @@self-motivated@@ and @@thrive in a dynamic and fast-paced environment@@ that continually pushes for excellence .""",You are @@liaise with government officials@@ and @@ensure equipment maintenance@@ in a dynamic and fast-paced environment that continually pushes for excellence.,
watch and clock repairer,[],['electric clocks'],"Take this sentence from a Job Posting.

""The candidate must likewise have working experience with ##low power wireless protocol interfaces## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##electric clocks##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The candidate must likewise have working experience with ##electric clocks##.,"""The candidate must likewise have working experience with ##low power wireless protocol interfaces## .""",The candidate must likewise have working experience with ##electric clocks##.,
supply chain manager,"['apply change management', 'ensure equipment availability', 'forecast workload']",['warehouse operations'],"Take this sentence from a Job Posting.

""We are looking for a highly @@motivated@@ and @@independent@@ engineer/physicist to assist with @@fabrication and characterization of ##superconductor-semiconductor materials .##@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@apply change management@@, @@ensure equipment availability@@, @@forecast workload@@, and for knowledge: ##warehouse operations##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","We are looking for a highly @@apply change management@@, @@ensure equipment availability@@, and @@forecast workload@@ engineer/physicist to assist with ##warehouse operations##.","""We are looking for a highly @@motivated@@ and @@independent@@ engineer/physicist to assist with @@fabrication and characterization of ##superconductor-semiconductor materials .##@@""","We are looking for a highly @@apply change management@@, @@ensure equipment availability@@, and @@forecast workload@@ engineer/physicist to assist with ##warehouse operations##.",
airport operations officer,[],"['instructions of aerodrome operations', 'air traffic control operations']","Take this sentence from a Job Posting.

""The position is permanent and candidates with a ##medical education## and/or experience with ##medical research## can apply .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##instructions of aerodrome operations##, ##air traffic control operations##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The position is permanent and candidates with a ##instructions of aerodrome operations## and/or experience with ##air traffic control operations## can apply.,"""The position is permanent and candidates with a ##medical education## and/or experience with ##medical research## can apply .""",The position is permanent and candidates with a ##instructions of aerodrome operations## and/or experience with ##air traffic control operations## can apply.,
gas station operator,[],['office software'],"Take this sentence from a Job Posting.

""The project work will involve ##bottom-up nano-structured crystal growth structural and electronic characterization## with the overarching goal of making low dimensional components for topological quantum information processing .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##office software##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The project work will involve ##office software## with the overarching goal of making low dimensional components for topological quantum information processing.,"""The project work will involve ##bottom-up nano-structured crystal growth structural and electronic characterization## with the overarching goal of making low dimensional components for topological quantum information processing .""",The project work will involve ##office software## with the overarching goal of making low dimensional components for topological quantum information processing.,
computer shop manager,"['oversee promotional sales prices', 'negotiate sales contracts', 'ensure client orientation', 'set sales goals', 'monitor customer service']","['hardware platforms', 'software specifications', 'multimedia systems', 'hardware architectures']","Take this sentence from a Job Posting.

""You will be part of the Offshore Wind Technology engineering team and participate in the entire project life cycle including: @@Developing competitive technical solutions@@ during the sales/tender phase - in line with customers needs and requirements @@Design construction and commissioning of mechanical ##electrical high-/medium-voltage and communication systems## for ##offshore substations##@@ @@Assisting Procurement and Project Management in negotiations with suppliers and customers@@ @@Attending factory tests site tests commissioning and handover of projects@@ to clients and their O&M organisations @@Development optimisation and standardisation of technical solutions@@ Your profile You hold a ##bachelors or masters degree## in ##electrical or mechanical engineering## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@oversee promotional sales prices@@, @@negotiate sales contracts@@, @@ensure client orientation@@, @@set sales goals@@, @@monitor customer service@@, and for knowledge: ##hardware platforms##, ##software specifications##, ##multimedia systems##, ##hardware architectures##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will be part of the Offshore Wind Technology engineering team and participate in the entire project life cycle including: @@oversee promotional sales prices@@ during the sales/tender phase - in line with customers' needs and requirements @@negotiate sales contracts@@ and commissioning of mechanical ##hardware platforms## and ##software specifications## for ##multimedia systems## @@ensure client orientation@@ @@Assisting Procurement and Project Management in negotiations with suppliers and customers@@ @@set sales goals@@ and handover of projects to clients and their O&M organisations @@monitor customer service@@ Your profile You hold a ##bachelor's or master's degree## in ##hardware architectures##.,"""You will be part of the Offshore Wind Technology engineering team and participate in the entire project life cycle including: @@Developing competitive technical solutions@@ during the sales/tender phase - in line with customers needs and requirements @@Design construction and commissioning of mechanical ##electrical high-/medium-voltage and communication systems## for ##offshore substations##@@ @@Assisting Procurement and Project Management in negotiations with suppliers and customers@@ @@Attending factory tests site tests commissioning and handover of projects@@ to clients and their O&M organisations @@Development optimisation and standardisation of technical solutions@@ Your profile You hold a ##bachelors or masters degree## in ##electrical or mechanical engineering## .""",You will be part of the Offshore Wind Technology engineering team and participate in the entire project life cycle including: @@oversee promotional sales prices@@ during the sales/tender phase - in line with customers' needs and requirements @@negotiate sales contracts@@ and commissioning of mechanical ##hardware platforms## and ##software specifications## for ##multimedia systems## @@ensure client orientation@@ @@Assisting Procurement and Project Management in negotiations with suppliers and customers@@ @@set sales goals@@ and handover of projects to clients and their O&M organisations @@monitor customer service@@ Your profile You hold a ##bachelor's or master's degree## in ##hardware architectures##.,
gambling quality assurance engineer,[],"['hardware specifications', 'software components libraries', 'legal standards in gambling']","Take this sentence from a Job Posting.

""Do you want an opportunity to combine your interest in ##sports## with your skills in ##content management## and ##SEO?##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##hardware specifications##, ##software components libraries##, ##legal standards in gambling##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Do you want an opportunity to combine your interest in ##hardware specifications## with your skills in ##software components libraries## and ##legal standards in gambling?##,"""Do you want an opportunity to combine your interest in ##sports## with your skills in ##content management## and ##SEO?##""",Do you want an opportunity to combine your interest in ##hardware specifications## with your skills in ##software components libraries## and ##legal standards in gambling?##,
armoured car driver,"['manage theft prevention', 'practice vigilance']",[],"Take this sentence from a Job Posting.

""You want to work in an environment where you @@respect each other@@ and you are ready to @@help out your colleagues@@ if it is needed .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage theft prevention@@, @@practice vigilance@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You want to work in an environment where you @@manage theft prevention@@ and you are ready to @@practice vigilance@@ if it is needed.,"""You want to work in an environment where you @@respect each other@@ and you are ready to @@help out your colleagues@@ if it is needed .""",You want to work in an environment where you @@manage theft prevention@@ and you are ready to @@practice vigilance@@ if it is needed.,
civil enforcement officer,[],"['road traffic laws', 'local geography']","Take this sentence from a Job Posting.

""As a team your main focus is to use your ##end-to-end## understanding on projects or assignment with ##element development## and quality as a common denominator .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##road traffic laws##, ##local geography##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As a team your main focus is to use your ##road traffic laws## understanding on projects or assignment with ##local geography## and quality as a common denominator.,"""As a team your main focus is to use your ##end-to-end## understanding on projects or assignment with ##element development## and quality as a common denominator .""",As a team your main focus is to use your ##road traffic laws## understanding on projects or assignment with ##local geography## and quality as a common denominator.,
dairy processing technician,"['operate a heat treatment process', 'manage staff', 'apply requirements concerning manufacturing of food and beverages', 'follow production schedule']","['legislation about animal origin products', 'biotechnology', 'dairy products', 'dairy manufacturing specifications']","Take this sentence from a Job Posting.

""@@Individual and group based research@@ meeting high international standards Promoting CBSs academic reputation @@Initiating fund raising and coordinating research projects@@ Promoting the teaching and research capabilities of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> and other relevant assignments at Copenhagen Business School Contributing to the ##administrative responsibilities## of the department and to <ORGANIZATION> tasks @@Communicating findings to the public@@ in general and to CBSs stakeholders in particular @@Research@@ including responsibility for the academic development of the relevant discipline Responsibility for ##publishing## ##scientific communication## and ##research-based teaching##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@operate a heat treatment process@@, @@manage staff@@, @@apply requirements concerning manufacturing of food and beverages@@, @@follow production schedule@@, and for knowledge: ##legislation about animal origin products##, ##biotechnology##, ##dairy products##, ##dairy manufacturing specifications##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are seeking a candidate who can proficiently @@operate a heat treatment process@@ to meet high international standards, thereby promoting the academic reputation of Copenhagen Business School (CBS). The successful candidate will also be expected to @@manage staff@@ and coordinate research projects, further enhancing the teaching and research capabilities of CBS. 

In addition to these responsibilities, the candidate will be tasked with contributing to the department's understanding of the ##legislation about animal origin products##. They will also be expected to handle tasks related to CBS and other relevant assignments. 

A key part of the role involves applying the @@requirements concerning the manufacturing of food and beverages@@, both in general and specifically to CBS’s stakeholders. The candidate will also need to @@follow the production schedule@@, taking responsibility for the academic development of the relevant discipline. 

Finally, the candidate will be responsible for the areas of ##biotechnology##, ##dairy products##, and ##dairy manufacturing specifications##. This role requires a deep understanding of these areas and the ability to apply this knowledge effectively.""","""@@Individual and group based research@@ meeting high international standards Promoting CBSs academic reputation @@Initiating fund raising and coordinating research projects@@ Promoting the teaching and research capabilities of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> and other relevant assignments at Copenhagen Business School Contributing to the ##administrative responsibilities## of the department and to <ORGANIZATION> tasks @@Communicating findings to the public@@ in general and to CBSs stakeholders in particular @@Research@@ including responsibility for the academic development of the relevant discipline Responsibility for ##publishing## ##scientific communication## and ##research-based teaching##""","@@Operate a heat treatment process@@ meeting high international standards Promoting CBS’s academic reputation @@Manage staff@@ and coordinating research projects Promoting the teaching and research capabilities of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> and other relevant assignments at Copenhagen Business School Contributing to the ##legislation about animal origin products## of the department and to <ORGANIZATION> tasks @@Apply requirements concerning manufacturing of food and beverages@@ in general and to CBS’s stakeholders in particular @@Follow production schedule@@ including responsibility for the academic development of the relevant discipline Responsibility for ##biotechnology##, ##dairy products## and ##dairy manufacturing specifications##.","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""@@Operate a heat treatment process@@ meeting high international standards Promoting CBS’s academic reputation @@Manage staff@@ and coordinating research projects Promoting the teaching and research capabilities of <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> and other relevant assignments at Copenhagen Business School Contributing to the ##legislation about animal origin products## of the department and to <ORGANIZATION> tasks @@Apply requirements concerning manufacturing of food and beverages@@ in general and to CBS’s stakeholders in particular @@Follow production schedule@@ including responsibility for the academic development of the relevant discipline Responsibility for ##biotechnology##, ##dairy products## and ##dairy manufacturing specifications##.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
